기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Devon Energy,DVN,2011Q1,2011-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),34550000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000095012311044695/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311044695/,10
Devon Energy,DVN,2011Q1,2011-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),15321000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090012/000095012311044695/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311044695/,10
Devon Energy,DVN,2011Q1,2011-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),19229000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000095012311044695/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311044695/,10
Devon Energy,DVN,2011Q2,2011-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),38537000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000095012311073025/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311073025/,10
Devon Energy,DVN,2011Q2,2011-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),17109000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090012/000095012311073025/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311073025/,10
Devon Energy,DVN,2011Q2,2011-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),21428000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000095012311073025/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311073025/,10
Devon Energy,DVN,2011Q3,2011-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),39866000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000095012311094425/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311094425/,10
Devon Energy,DVN,2011Q3,2011-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),18764000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090012/000095012311094425/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311094425/,10
Devon Energy,DVN,2011Q3,2011-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),21102000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000095012311094425/,,https://www.sec.gov/Archives/edgar/data/1090012/000095012311094425/,10
Devon Energy,DVN,2011Q4,2011-12-31,분기별 매출액,재분류(미반영),2585000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/ ; https://www.sec.gov/Archives/edgar/data/1090012/000095012311094425/,2576000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/ ; https://www.sec.gov/Archives/edgar/data/1090012/000095012311094425/,10
Devon Energy,DVN,2011Q4,2011-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),41117000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/,,https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/,10
Devon Energy,DVN,2011Q4,2011-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),19687000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/,,https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/,10
Devon Energy,DVN,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),21430000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/,,https://www.sec.gov/Archives/edgar/data/1090012/000119312512077085/,10
Devon Energy,DVN,2012Q1,2012-03-31,분기별 매출액,재분류(미반영),2497000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000119312512204049/,2495000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/,10
Devon Energy,DVN,2012Q2,2012-06-30,분기별 매출액,재분류(미반영),2559000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000119312512329113/,2561000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/,10
Devon Energy,DVN,2012Q4,2012-12-31,분기별 매출액,재분류(미반영),2581000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090012/000119312513068817/ ; https://www.sec.gov/Archives/edgar/data/1090012/000119312512457117/,2580000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/ ; https://www.sec.gov/Archives/edgar/data/1090012/000119312512457117/,10
Devon Energy,DVN,2013Q1,2013-03-31,분기별 매출액,재작성 반영,1972000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000119312513192272/,1971000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312514192498/,10
Devon Energy,DVN,2013Q2,2013-06-30,분기별 매출액,재작성 반영,3091000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000119312513323925/,3088000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312514298369/,10
Devon Energy,DVN,2013Q3,2013-09-30,분기별 매출액,재작성 반영,2720000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000119312513429977/,2714000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312514397861/,10
Devon Energy,DVN,2013Q4,2013-12-31,분기별 매출액,재작성 반영,2614000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/ ; https://www.sec.gov/Archives/edgar/data/1090012/000119312513429977/,2624000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/ ; https://www.sec.gov/Archives/edgar/data/1090012/000119312514397861/,10
Devon Energy,DVN,2013Q4,2013-12-31,분기별 영업이익,재작성 반영,645000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090012/000119312514076267/ ; https://www.sec.gov/Archives/edgar/data/1090012/000119312514397861/,591000000,https://www.sec.gov/Archives/edgar/data/1090012/000119312516466687/ ; https://www.sec.gov/Archives/edgar/data/1090012/000119312514397861/,10
Devon Energy,DVN,2014Q4,2014-12-31,분기별 매출액,재분류(미반영),5995000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/ ; https://www.sec.gov/Archives/edgar/data/1090012/000119312514397861/,7067000000,https://www.sec.gov/Archives/edgar/data/1090012/000156459017001607/ ; https://www.sec.gov/Archives/edgar/data/1090012/000119312514397861/,10
Devon Energy,DVN,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),50637000000,공시,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/,,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/,10
Devon Energy,DVN,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),24296000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/,,https://www.sec.gov/Archives/edgar/data/1090012/000119312515056497/,10
