기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
DexCom,DXCM,2010Q1,2010-03-31,분기별 매출액,9545000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1093557/000119312512075640/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2012-02-23 제출본의 비교기간에서 읽었다,13
DexCom,DXCM,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1093557/000119312510108874/,,13
DexCom,DXCM,2010Q1,2010-03-31,분기별 당기순이익(지배),-20273000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1093557/000119312512075640/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2012-02-23 제출본의 비교기간에서 읽었다,13
DexCom,DXCM,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1093557/000119312510108874/,,13
DexCom,DXCM,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1093557/000119312510108874/,,13
DexCom,DXCM,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1093557/000119312510108874/,,13
DexCom,DXCM,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1093557/000119312510108874/,,13
DexCom,DXCM,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1093557/000119312510108874/,,13
DexCom,DXCM,2010Q1,2010-03-31,분기말 종가,9.74,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/DXCM?interval=1d&events=splits (2010-03-31),분할조정 종가 2.435 × 이후 분할계수 4,13
DexCom,DXCM,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
DexCom,DXCM,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
