기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Edison International,EIX,2010Q1,2010-03-31,분기별 매출액,2810000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,,16
Edison International,EIX,2010Q1,2010-03-31,분기별 영업이익,498000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,,16
Edison International,EIX,2010Q1,2010-03-31,분기별 당기순이익(지배),236000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,,16
Edison International,EIX,2010Q1,2010-03-31,분기별 영업활동현금흐름,599000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,,16
Edison International,EIX,2010Q1,2010-03-31,분기말 자산총계,42357000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,,16
Edison International,EIX,2010Q1,2010-03-31,분기말 부채총계,31374000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,,16
Edison International,EIX,2010Q1,2010-03-31,분기말 총자본(자기자본),10983000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,,16
Edison International,EIX,2010Q1,2010-03-31,분기말 지배지분 자본,10976000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,총자본 10983000000 − 비지배 7000000,16
Edison International,EIX,2010Q1,2010-03-31,분기말 종가,34.17,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EIX?interval=1d&events=splits (2010-03-31),,16
Edison International,EIX,2010Q1,2010-05-03,분기말 상장주식수,325811206,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,dei:EntityCommonStockSharesOutstanding 클래스 합,16
Edison International,EIX,2010Q1,2010-03-31,분기말 시가총액,11132968909,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/EIX?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,종가 34.17 × 주식수 325811206,16
Edison International,EIX,2010Q2,2010-06-30,분기별 매출액,2741000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910007028/,,16
Edison International,EIX,2010Q2,2010-06-30,분기별 영업이익,351000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910007028/,,16
Edison International,EIX,2010Q2,2010-06-30,분기별 당기순이익(지배),344000000,USD,공시,https://www.sec.gov/Archives/edgar/data/827052/000104746910007028/,,16
Edison International,EIX,2010Q2,2010-06-30,분기별 영업활동현금흐름,363000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/827052/000104746910007028/ ; https://www.sec.gov/Archives/edgar/data/827052/000104746910004925/,누적 962000000 − 직전누적 599000000 (시작 2010-01-01),16
