기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Emerson Electric,EMR,2010Q1,2010-03-31,분기별 매출액,5144000000,USD,공시,https://www.sec.gov/Archives/edgar/data/32604/000114420410024596/,,7
Emerson Electric,EMR,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000032604: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000032604: OperatingIncomeLoss 태그 없음(영업이익 미공시),,7
Emerson Electric,EMR,2010Q1,2010-03-31,분기별 당기순이익(지배),405000000,USD,공시,https://www.sec.gov/Archives/edgar/data/32604/000114420410024596/,,7
Emerson Electric,EMR,2010Q1,2010-03-31,분기별 영업활동현금흐름,632000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/32604/000114420410024596/ ; https://www.sec.gov/Archives/edgar/data/32604/000114420410005166/,누적 1319000000 − 직전누적 687000000 (시작 2009-10-01),7
Emerson Electric,EMR,2010Q1,2010-03-31,분기말 자산총계,21720000000,USD,공시,https://www.sec.gov/Archives/edgar/data/32604/000114420410024596/,,7
Emerson Electric,EMR,2010Q1,2010-03-31,분기말 부채총계,12715000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/32604/000114420410024596/,부채및자본 21720000000 − 총자본 9005000000,7
Emerson Electric,EMR,2010Q1,2010-03-31,분기말 총자본(자기자본),9005000000,USD,공시,https://www.sec.gov/Archives/edgar/data/32604/000114420410024596/,,7
Emerson Electric,EMR,2010Q1,2010-03-31,분기말 지배지분 자본,8855000000,USD,공시,https://www.sec.gov/Archives/edgar/data/32604/000114420410024596/,,7
Emerson Electric,EMR,2010Q1,2010-03-31,분기말 종가,50.34,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EMR?interval=1d&events=splits (2010-03-31),,7
Emerson Electric,EMR,2010Q1,2010-04-30,분기말 상장주식수,753169778,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/32604/000114420410024596/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
