기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Eaton,ETN,2012Q3,2012-09-30,분기별 매출액,재작성 반영,0,공시,https://www.sec.gov/Archives/edgar/data/1551182/000155118212000004/,3950000000,https://www.sec.gov/Archives/edgar/data/1551182/000155118213000046/,4
Eaton,ETN,2012Q3,2012-09-30,분기별 당기순이익(지배),재작성 반영,-149,공시(보통주 귀속),https://www.sec.gov/Archives/edgar/data/1551182/000155118212000004/,345000000,https://www.sec.gov/Archives/edgar/data/1551182/000155118213000046/,4
Eaton,ETN,2012Q4,2012-12-31,분기말 자산총계,재작성 반영,35848000000,공시,https://www.sec.gov/Archives/edgar/data/1551182/000155118213000005/,35810000000,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/,4
Eaton,ETN,2012Q4,2012-12-31,분기말 부채총계,재작성 반영,20720000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1551182/000155118213000005/,20632000000,https://www.sec.gov/Archives/edgar/data/1551182/000155118214000011/,4
Eaton,ETN,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 반영,15128000000,공시,https://www.sec.gov/Archives/edgar/data/1551182/000155118213000005/,15178000000,https://www.sec.gov/Archives/edgar/data/1551182/000155118216000041/,4
Eaton,ETN,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 반영,15086000000,공시,https://www.sec.gov/Archives/edgar/data/1551182/000155118213000005/,15113000000,https://www.sec.gov/Archives/edgar/data/1551182/000155118214000011/,4
Eaton,ETN,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),33529000000,공시,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/,,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/,4
Eaton,ETN,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),17690000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/,,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/,4
Eaton,ETN,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),15839000000,공시,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/,,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/,4
Eaton,ETN,2015Q4,2015-12-31,분기별 당기순이익(지배),재작성 반영,532000000,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/1551182/000155118216000041/ ; https://www.sec.gov/Archives/edgar/data/1551182/000155118215000023/,525000000,https://www.sec.gov/Archives/edgar/data/1551182/000155118218000074/ ; https://www.sec.gov/Archives/edgar/data/1551182/000155118215000023/,4
