기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Entergy,ETR,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,,11
Entergy,ETR,2010Q1,2010-03-31,분기별 영업이익,476714000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,,11
Entergy,ETR,2010Q1,2010-03-31,분기별 당기순이익(지배),213799000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,,11
Entergy,ETR,2010Q1,2010-03-31,분기별 영업활동현금흐름,674265000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,,11
Entergy,ETR,2010Q1,2010-03-31,분기말 자산총계,38109402000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,,11
Entergy,ETR,2010Q1,2010-03-31,분기말 부채총계,29155323000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,부채및자본 38109402000 − 총자본 8954079000,11
Entergy,ETR,2010Q1,2010-03-31,분기말 총자본(자기자본),8954079000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,,11
Entergy,ETR,2010Q1,2010-03-31,분기말 지배지분 자본,8860079000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,,11
Entergy,ETR,2010Q1,2010-03-31,분기말 종가,81.35,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ETR?interval=1d&events=splits (2010-03-31),분할조정 종가 40.675 × 이후 분할계수 2,11
Entergy,ETR,2010Q1,2010-04-30,분기말 상장주식수,189303044,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Entergy,ETR,2010Q1,2010-03-31,분기말 시가총액,15399802629,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ETR?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,종가 81.35 × 주식수 189303044,11
Entergy,ETR,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,,11
Entergy,ETR,2010Q2,2010-06-30,분기별 영업이익,626241000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,,11
Entergy,ETR,2010Q2,2010-06-30,분기별 당기순이익(지배),315266000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,,11
Entergy,ETR,2010Q2,2010-06-30,분기별 영업활동현금흐름,793569000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/ ; https://www.sec.gov/Archives/edgar/data/65984/000006598410000092/,누적 1467834000 − 직전누적 674265000 (시작 2010-01-01),11
Entergy,ETR,2010Q2,2010-06-30,분기말 자산총계,37752074000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,,11
Entergy,ETR,2010Q2,2010-06-30,분기말 부채총계,28887336000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,부채및자본 37752074000 − 총자본 8864738000,11
Entergy,ETR,2010Q2,2010-06-30,분기말 총자본(자기자본),8864738000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,,11
Entergy,ETR,2010Q2,2010-06-30,분기말 지배지분 자본,8770738000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,,11
Entergy,ETR,2010Q2,2010-06-30,분기말 종가,71.62,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ETR?interval=1d&events=splits (2010-06-30),분할조정 종가 35.81 × 이후 분할계수 2,11
Entergy,ETR,2010Q2,2010-07-30,분기말 상장주식수,186815779,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Entergy,ETR,2010Q2,2010-06-30,분기말 시가총액,13379746092,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ETR?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,종가 71.62 × 주식수 186815779,11
Entergy,ETR,2010Q3,2010-09-30,분기별 매출액,3332176000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/65984/000006598411000179/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-11-07 제출본의 비교기간에서 읽었다,11
Entergy,ETR,2010Q3,2010-09-30,분기별 영업이익,770642000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,,11
Entergy,ETR,2010Q3,2010-09-30,분기별 당기순이익(지배),492886000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,,11
Entergy,ETR,2010Q3,2010-09-30,분기별 영업활동현금흐름,1697255000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/ ; https://www.sec.gov/Archives/edgar/data/65984/000006598410000168/,누적 3165089000 − 직전누적 1467834000 (시작 2010-01-01),11
Entergy,ETR,2010Q3,2010-09-30,분기말 자산총계,38668207000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,,11
Entergy,ETR,2010Q3,2010-09-30,분기말 부채총계,29842455000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,부채및자본 38668207000 − 총자본 8825752000,11
Entergy,ETR,2010Q3,2010-09-30,분기말 총자본(자기자본),8825752000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,,11
Entergy,ETR,2010Q3,2010-09-30,분기말 지배지분 자본,8731752000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,,11
Entergy,ETR,2010Q3,2010-09-30,분기말 종가,76.53,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ETR?interval=1d&events=splits (2010-09-30),분할조정 종가 38.265 × 이후 분할계수 2,11
Entergy,ETR,2010Q3,2010-09-30,분기말 상장주식수,0,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Entergy,ETR,2010Q3,2010-09-30,분기말 시가총액,0,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ETR?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,종가 76.53 × 주식수 0,11
Entergy,ETR,2010Q4,2010-12-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/,,11
Entergy,ETR,2010Q4,2010-12-31,분기별 영업이익,393780000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/ ; https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,연간 2267377000 − 9개월누적 1873597000 (OperatingIncomeLoss),11
Entergy,ETR,2010Q4,2010-12-31,분기별 당기순이익(지배),228291000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/ ; https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,연간 1250242000 − 9개월누적 1021951000 (NetIncomeLoss),11
Entergy,ETR,2010Q4,2010-12-31,분기별 영업활동현금흐름,760992000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/ ; https://www.sec.gov/Archives/edgar/data/65984/000006598410000216/,누적 3926081000 − 직전누적 3165089000 (시작 2010-01-01),11
Entergy,ETR,2010Q4,2010-12-31,분기말 자산총계,38685276000,USD,공시,https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/,,11
Entergy,ETR,2010Q4,2010-12-31,분기말 부채총계,30094876000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/,부채및자본 38685276000 − 총자본 8590400000,11
