기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Edwards Lifesciences,EW,2011Q3,2011-09-30,분기별 영업활동현금흐름,재작성 반영,97200000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1099800/000104746911009212/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746911007106/,140600000,https://www.sec.gov/Archives/edgar/data/1099800/000104746912010132/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746911007106/,11
Edwards Lifesciences,EW,2011Q4,2011-12-31,분기별 영업활동현금흐름,재작성 반영,143100000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1099800/000104746912001617/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746911009212/,93400000,https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746912010132/,11
Edwards Lifesciences,EW,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,642600000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1099800/000104746912001617/,653100000,https://www.sec.gov/Archives/edgar/data/1099800/000104746912001617/,11
Edwards Lifesciences,EW,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 반영,1337900000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1099800/000104746912001617/,1327400000,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/,11
Edwards Lifesciences,EW,2011Q4,2011-12-31,분기말 지배지분 자본,재작성 반영,1337900000,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746912001617/,1327400000,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/,11
Edwards Lifesciences,EW,2012Q4,2012-12-31,분기별 당기순이익(지배),재작성 반영,91100000,"계산(연간-3분기누적, 보통주 귀속)",https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746912010132/,89400000,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746912010132/,11
Edwards Lifesciences,EW,2012Q4,2012-12-31,분기별 영업활동현금흐름,재작성 반영,126400000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746912010132/,114700000,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746912010132/,11
Edwards Lifesciences,EW,2012Q4,2012-12-31,분기말 부채총계,재작성 반영,742200000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/,754400000,https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/,11
Edwards Lifesciences,EW,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 반영,1479300000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/,1467100000,https://www.sec.gov/Archives/edgar/data/1099800/000109980016000044/,11
Edwards Lifesciences,EW,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 반영,1479300000,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746913001954/,1467100000,https://www.sec.gov/Archives/edgar/data/1099800/000109980016000044/,11
Edwards Lifesciences,EW,2013Q1,2013-03-31,분기별 당기순이익(지배),재작성 반영,144900000,공시(보통주 귀속),https://www.sec.gov/Archives/edgar/data/1099800/000104746913005581/,143900000,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/,11
Edwards Lifesciences,EW,2013Q1,2013-03-31,분기별 영업활동현금흐름,재작성 반영,87300000,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746913005581/,101100000,https://www.sec.gov/Archives/edgar/data/1099800/000104746914004546/,11
Edwards Lifesciences,EW,2013Q2,2013-06-30,분기별 당기순이익(지배),재작성 반영,94100000,공시(보통주 귀속),https://www.sec.gov/Archives/edgar/data/1099800/000104746913008139/,93300000,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/,11
Edwards Lifesciences,EW,2013Q2,2013-06-30,분기별 영업활동현금흐름,재작성 반영,127000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1099800/000104746913008139/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746913005581/,128100000,https://www.sec.gov/Archives/edgar/data/1099800/000104746914006621/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746914004546/,11
Edwards Lifesciences,EW,2013Q3,2013-09-30,분기별 영업활동현금흐름,재작성 반영,147100000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1099800/000104746913010378/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746913008139/,132200000,https://www.sec.gov/Archives/edgar/data/1099800/000104746913010378/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746914006621/,11
Edwards Lifesciences,EW,2013Q4,2013-12-31,분기별 당기순이익(지배),재작성 반영,75800000,"계산(연간-3분기누적, 보통주 귀속)",https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746913010378/,75100000,https://www.sec.gov/Archives/edgar/data/1099800/000109980016000044/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746914008719/,11
Edwards Lifesciences,EW,2013Q4,2013-12-31,분기말 자산총계,재작성 반영,2724700000,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/,2709900000,https://www.sec.gov/Archives/edgar/data/1099800/000104746915000998/,11
Edwards Lifesciences,EW,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 반영,1559200000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/,1544400000,https://www.sec.gov/Archives/edgar/data/1099800/000109980017000008/,11
Edwards Lifesciences,EW,2013Q4,2013-12-31,분기말 지배지분 자본,재작성 반영,1559200000,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746914001583/,1544400000,https://www.sec.gov/Archives/edgar/data/1099800/000109980017000008/,11
