기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기별 매출액,340500000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1099800/000104746911001550/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-02-28 제출본의 비교기간에서 읽었다,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910004989/,,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910004989/,,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910004989/,,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910004989/,,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910004989/,,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910004989/,,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910004989/,,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기말 종가,98.88,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EW?interval=1d&events=splits (2010-03-31),분할조정 종가 8.24 × 이후 분할계수 12,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,11
Edwards Lifesciences,EW,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기별 매출액,365200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기별 당기순이익(지배),57500000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기말 자산총계,1641900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기말 부채총계,524100000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,부채및자본 1641900000 − 총자본 1117800000,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기말 총자본(자기자본),1117800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기말 지배지분 자본,1117800000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기말 종가,56.02,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EW?interval=1d&events=splits (2010-06-30),분할조정 종가 9.3367 × 이후 분할계수 6,11
Edwards Lifesciences,EW,2010Q2,2010-07-31,분기말 상장주식수,113350552,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Edwards Lifesciences,EW,2010Q2,2010-06-30,분기말 시가총액,6349897923,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/EW?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,종가 56.02 × 주식수 113350552,11
Edwards Lifesciences,EW,2010Q3,2010-09-30,분기별 매출액,348900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746910009418/,,11
Edwards Lifesciences,EW,2010Q3,2010-09-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1099800/000104746910009418/,,11
Edwards Lifesciences,EW,2010Q3,2010-09-30,분기별 당기순이익(지배),48000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1099800/000104746910009418/,,11
Edwards Lifesciences,EW,2010Q3,2010-09-30,분기별 영업활동현금흐름,96400000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1099800/000104746910009418/ ; https://www.sec.gov/Archives/edgar/data/1099800/000104746910007154/,누적 157400000 − 직전누적 61000000 (시작 2010-01-01),11
Edwards Lifesciences,EW,2010Q3,2010-09-30,분기말 자산총계,1725400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746910009418/,,11
Edwards Lifesciences,EW,2010Q3,2010-09-30,분기말 부채총계,491900000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1099800/000104746910009418/,부채및자본 1725400000 − 총자본 1233500000,11
Edwards Lifesciences,EW,2010Q3,2010-09-30,분기말 총자본(자기자본),1233500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1099800/000104746910009418/,,11
Edwards Lifesciences,EW,2010Q3,2010-09-30,분기말 지배지분 자본,1233500000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1099800/000104746910009418/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",11
