기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Exelon,EXC,2010Q3,2010-09-30,분기별 영업이익,재작성 반영,1366000000,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312510234590/,1367000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/,11
Exelon,EXC,2011Q3,2011-09-30,분기별 매출액,재작성 반영,5295000000,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312511281748/,5254000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312513069749/,11
Exelon,EXC,2011Q4,2011-12-31,분기별 매출액,재작성 반영,3991000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/ ; https://www.sec.gov/Archives/edgar/data/1109357/000119312511281748/,4358000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312514051838/ ; https://www.sec.gov/Archives/edgar/data/1109357/000119312512457787/,11
Exelon,EXC,2011Q4,2011-12-31,분기별 영업이익,재작성 반영,1063000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/ ; https://www.sec.gov/Archives/edgar/data/1109357/000119312511281748/,1062000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312514051838/ ; https://www.sec.gov/Archives/edgar/data/1109357/000119312511281748/,11
Exelon,EXC,2011Q4,2011-12-31,분기별 당기순이익(지배),재작성 반영,606000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/ ; https://www.sec.gov/Archives/edgar/data/1109357/000119312511281748/,607000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312513069749/ ; https://www.sec.gov/Archives/edgar/data/1109357/000119312512457787/,11
Exelon,EXC,2011Q4,2011-12-31,분기말 자산총계,재작성 반영,55092000000,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/,54995000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312513069749/,11
Exelon,EXC,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,40617000000,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/,40520000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312513069749/,11
Exelon,EXC,2012Q2,2012-06-30,분기별 매출액,재작성 반영,5954000000,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312512346805/,5966000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312514051838/,11
Exelon,EXC,2012Q2,2012-06-30,분기별 당기순이익(지배),재작성 반영,289000000,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312512346805/,286000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312513069749/,11
Exelon,EXC,2012Q2,2012-06-30,분기별 영업활동현금흐름,재작성 반영,1735000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1109357/000119312512346805/ ; https://www.sec.gov/Archives/edgar/data/1109357/000119312512222883/,1719000000,https://www.sec.gov/Archives/edgar/data/1109357/000119312513324857/ ; https://www.sec.gov/Archives/edgar/data/1109357/000119312512222883/,11
