기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Exelon,EXC,2010Q1,2010-03-31,분기별 매출액,4461000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,,11
Exelon,EXC,2010Q1,2010-03-31,분기별 영업이익,1402000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,,11
Exelon,EXC,2010Q1,2010-03-31,분기별 당기순이익(지배),749000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,,11
Exelon,EXC,2010Q1,2010-03-31,분기별 영업활동현금흐름,1861000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,,11
Exelon,EXC,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,자체 검증 실패: 자산 50741000000 ≠ 부채 37203000000 + 총자본 13451000000 + 메자닌 0 (차이 87000000),11
Exelon,EXC,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,자체 검증 실패: 자산 50741000000 ≠ 부채 37203000000 + 총자본 13451000000 + 메자닌 0 (차이 87000000),11
Exelon,EXC,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,자체 검증 실패: 자산 50741000000 ≠ 부채 37203000000 + 총자본 13451000000 + 메자닌 0 (차이 87000000),11
Exelon,EXC,2010Q1,2010-03-31,분기말 지배지분 자본,13451000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,,11
Exelon,EXC,2010Q1,2010-03-31,분기말 종가,43.81,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXC?interval=1d&events=splits (2010-03-31),분할조정 종가 31.2482 × 이후 분할계수 1.402,11
Exelon,EXC,2010Q1,2010-03-31,분기말 상장주식수,660578698000000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
Exelon,EXC,2010Q1,2010-03-31,분기말 시가총액,28939952759380000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/EXC?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1109357/000119312510091626/,종가 43.81 × 주식수 660578698000000,11
Exelon,EXC,2010Q2,2010-06-30,분기별 매출액,4398000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1109357/000095012310067250/,,11
Exelon,EXC,2010Q2,2010-06-30,분기별 영업이익,1018000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1109357/000095012310067250/,,11
Exelon,EXC,2010Q2,2010-06-30,분기별 당기순이익(지배),445000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1109357/000095012310067250/,,11
Exelon,EXC,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/1109357/000095012310067250/,,11
Exelon,EXC,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1109357/000095012310067250/,자체 검증 실패: 자산 49173000000 ≠ 부채 35900000000 + 총자본 13186000000 + 메자닌 0 (차이 87000000),11
