기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Expeditors International,EXPD,2010Q1,2010-03-31,분기별 매출액,1201109000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기별 영업이익,100541000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기별 당기순이익(지배),61247000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기별 영업활동현금흐름,127123000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기말 자산총계,2422079000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기말 부채총계,793143000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,부채및자본 2422079000 − 총자본 1628936000,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기말 총자본(자기자본),1628936000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기말 지배지분 자본,1620547000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기말 종가,36.92,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2010-03-31),,15
Expeditors International,EXPD,2010Q1,2010-05-03,분기말 상장주식수,212888523,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
Expeditors International,EXPD,2010Q1,2010-03-31,분기말 시가총액,7859844269,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,종가 36.92 × 주식수 212888523,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기별 매출액,1516770000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기별 영업이익,138496000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기별 당기순이익(지배),90318000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기별 영업활동현금흐름,20546000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/ ; https://www.sec.gov/Archives/edgar/data/746515/000119312510112978/,누적 147669000 − 직전누적 127123000 (시작 2010-01-01),15
Expeditors International,EXPD,2010Q2,2010-06-30,분기말 자산총계,2546542000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기말 부채총계,911734000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,부채및자본 2546542000 − 총자본 1634808000,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기말 총자본(자기자본),1634808000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기말 지배지분 자본,1626420000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기말 종가,34.51,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2010-06-30),,15
Expeditors International,EXPD,2010Q2,2010-08-02,분기말 상장주식수,212176095,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
Expeditors International,EXPD,2010Q2,2010-06-30,분기말 시가총액,7322197038,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,종가 34.51 × 주식수 212176095,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기별 매출액,1667559000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기별 영업이익,159621000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기별 당기순이익(지배),96105000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기별 영업활동현금흐름,113018000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/ ; https://www.sec.gov/Archives/edgar/data/746515/000119312510181305/,누적 260687000 − 직전누적 147669000 (시작 2010-01-01),15
Expeditors International,EXPD,2010Q3,2010-09-30,분기말 자산총계,2716183000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기말 부채총계,980065000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,부채및자본 2716183000 − 총자본 1736118000,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기말 총자본(자기자본),1736118000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기말 지배지분 자본,1728622000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기말 종가,46.23,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2010-09-30),,15
Expeditors International,EXPD,2010Q3,2010-11-01,분기말 상장주식수,212356370,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
Expeditors International,EXPD,2010Q3,2010-09-30,분기말 시가총액,9817234985,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,종가 46.23 × 주식수 212356370,15
Expeditors International,EXPD,2010Q4,2010-12-31,분기별 매출액,1582135000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/ ; https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,연간 5967573000 − 9개월누적 4385438000 (Revenues),15
Expeditors International,EXPD,2010Q4,2010-12-31,분기별 영업이익,148572000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/ ; https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,연간 547230000 − 9개월누적 398658000 (OperatingIncomeLoss),15
Expeditors International,EXPD,2010Q4,2010-12-31,분기별 당기순이익(지배),96502000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/ ; https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,연간 344172000 − 9개월누적 247670000 (NetIncomeLoss),15
Expeditors International,EXPD,2010Q4,2010-12-31,분기별 영업활동현금흐름,134831000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/ ; https://www.sec.gov/Archives/edgar/data/746515/000119312510251562/,누적 395518000 − 직전누적 260687000 (시작 2010-01-01),15
Expeditors International,EXPD,2010Q4,2010-12-31,분기말 자산총계,2679179000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/,,15
Expeditors International,EXPD,2010Q4,2010-12-31,분기말 부채총계,931025000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/,부채및자본 2679179000 − 총자본 1748154000,15
Expeditors International,EXPD,2010Q4,2010-12-31,분기말 총자본(자기자본),1748154000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/,,15
Expeditors International,EXPD,2010Q4,2010-12-31,분기말 지배지분 자본,1740906000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/,,15
Expeditors International,EXPD,2010Q4,2010-12-31,분기말 종가,54.6,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2010-12-31),,15
Expeditors International,EXPD,2010Q4,2011-02-18,분기말 상장주식수,212197775,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
Expeditors International,EXPD,2010Q4,2010-12-31,분기말 시가총액,11585998515,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/746515/000119312511049764/,종가 54.6 × 주식수 212197775,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기별 매출액,1460848000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기별 영업이익,147230000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기별 당기순이익(지배),91232000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기별 영업활동현금흐름,177833000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기말 자산총계,2836732000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기말 부채총계,987612000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,부채및자본 2836732000 − 총자본 1849120000,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기말 총자본(자기자본),1849120000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기말 지배지분 자본,1841909000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기말 종가,50.15,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2011-03-31),,15
Expeditors International,EXPD,2011Q1,2011-05-02,분기말 상장주식수,212370229,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
Expeditors International,EXPD,2011Q1,2011-03-31,분기말 시가총액,10650366984,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/EXPD?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/746515/000119312511132387/,종가 50.15 × 주식수 212370229,15
Expeditors International,EXPD,2011Q2,2011-06-30,분기별 매출액,1581368000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000144530511002378/,,15
Expeditors International,EXPD,2011Q2,2011-06-30,분기별 영업이익,152275000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000144530511002378/,,15
Expeditors International,EXPD,2011Q2,2011-06-30,분기별 당기순이익(지배),95000000,USD,공시,https://www.sec.gov/Archives/edgar/data/746515/000144530511002378/,,15
