기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Expedia Group,EXPE,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),833960000,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,751537000,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),193690000,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,126536000,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기별 매출액,재분류(미반영),987860000,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,898099000,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기별 영업이익,재분류(미반영),276804000,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,209154000,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/,13
Expedia Group,EXPE,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),808370000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,493906000,https://www.sec.gov/Archives/edgar/data/1324424/000119312513039072/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,13
Expedia Group,EXPE,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),149247000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,-81881000,https://www.sec.gov/Archives/edgar/data/1324424/000119312513039072/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,13
Expedia Group,EXPE,2010Q4,2010-12-31,분기말 자산총계,재작성 반영,6650994000,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/,6656922000,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/,13
Expedia Group,EXPE,2010Q4,2010-12-31,분기말 부채총계,재작성 반영,3914291000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/,3920219000,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/,13
Expedia Group,EXPE,2011Q1,2011-03-31,분기별 매출액,재분류(미반영),822177000,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312511115909/,727835000,https://www.sec.gov/Archives/edgar/data/1324424/000119312513039072/,13
Expedia Group,EXPE,2011Q1,2011-03-31,분기별 영업이익,재분류(미반영),108241000,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312511115909/,35158000,https://www.sec.gov/Archives/edgar/data/1324424/000119312513039072/,13
