기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Expedia Group,EXPE,2010Q1,2010-03-31,분기별 매출액,717919000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1324424/000119312511115909/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기별 영업이익,112174000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1324424/000119312511115909/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기별 당기순이익(지배),59395000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1324424/000119312511115909/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1324424/000119312510099770/,,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1324424/000119312510099770/,,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1324424/000119312510099770/,,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1324424/000119312510099770/,,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1324424/000119312510099770/,,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기말 종가,24.95,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXPE?interval=1d&events=splits (2010-03-31),분할조정 종가 49.9 × 이후 분할계수 0.5,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
Expedia Group,EXPE,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기별 매출액,833960000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기별 영업이익,193690000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기별 당기순이익(지배),114262000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기말 자산총계,6622894000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기말 부채총계,3956340000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,부채및자본 6622894000 − 총자본 2666554000,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기말 총자본(자기자본),2666554000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기말 지배지분 자본,2605934000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기말 종가,18.78,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXPE?interval=1d&events=splits (2010-06-30),분할조정 종가 37.56 × 이후 분할계수 0.5,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
Expedia Group,EXPE,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기별 매출액,987860000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기별 영업이익,276804000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기별 당기순이익(지배),176550000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기별 영업활동현금흐름,4384000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510170982/,누적 937717000 − 직전누적 933333000 (시작 2010-01-01),13
Expedia Group,EXPE,2010Q3,2010-09-30,분기말 자산총계,7132741000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기말 부채총계,4360887000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,부채및자본 7132741000 − 총자본 2771854000,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기말 총자본(자기자본),2771854000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기말 지배지분 자본,2709883000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기말 종가,28.23,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/EXPE?interval=1d&events=splits (2010-09-30),분할조정 종가 56.46 × 이후 분할계수 0.5,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
Expedia Group,EXPE,2010Q3,2010-09-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,13
Expedia Group,EXPE,2010Q4,2010-12-31,분기별 매출액,808370000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,연간 3348109000 − 9개월누적 2539739000 (SalesRevenueNet),13
Expedia Group,EXPE,2010Q4,2010-12-31,분기별 영업이익,149247000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,연간 731915000 − 9개월누적 582668000 (OperatingIncomeLoss),13
Expedia Group,EXPE,2010Q4,2010-12-31,분기별 당기순이익(지배),71293000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,연간 421500000 − 9개월누적 350207000 (NetIncomeLoss),13
Expedia Group,EXPE,2010Q4,2010-12-31,분기별 영업활동현금흐름,-160234000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/ ; https://www.sec.gov/Archives/edgar/data/1324424/000119312510240037/,누적 777483000 − 직전누적 937717000 (시작 2010-01-01),13
Expedia Group,EXPE,2010Q4,2010-12-31,분기말 자산총계,6656922000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/,원 공시 6650994000 (https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/),13
