기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Ford Motor,F,2011Q4,2011-12-31,분기별 매출액,재분류(미반영),34576000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/37996/000003799612000007/ ; https://www.sec.gov/Archives/edgar/data/37996/000003799611000016/,33917000000,https://www.sec.gov/Archives/edgar/data/37996/000003799614000010/ ; https://www.sec.gov/Archives/edgar/data/37996/000003799611000016/,10
Ford Motor,F,2011Q4,2011-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),178348000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799612000007/,,https://www.sec.gov/Archives/edgar/data/37996/000003799612000007/,10
Ford Motor,F,2011Q4,2011-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),163277000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799612000007/,,https://www.sec.gov/Archives/edgar/data/37996/000003799612000007/,10
Ford Motor,F,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),15071000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799612000007/,,https://www.sec.gov/Archives/edgar/data/37996/000003799612000007/,10
Ford Motor,F,2012Q4,2012-12-31,분기별 매출액,재분류(미반영),36424000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/ ; https://www.sec.gov/Archives/edgar/data/37996/000003799612000049/,35731000000,https://www.sec.gov/Archives/edgar/data/37996/000003799615000013/ ; https://www.sec.gov/Archives/edgar/data/37996/000003799612000049/,10
Ford Motor,F,2012Q4,2012-12-31,분기별 당기순이익(지배),재분류(미반영),1598000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/ ; https://www.sec.gov/Archives/edgar/data/37996/000003799612000049/,1546000000,https://www.sec.gov/Archives/edgar/data/37996/000003799615000013/ ; https://www.sec.gov/Archives/edgar/data/37996/000003799612000049/,10
Ford Motor,F,2012Q4,2012-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),190554000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/,10
Ford Motor,F,2012Q4,2012-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),174243000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/,10
Ford Motor,F,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),15989000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000014/,10
Ford Motor,F,2013Q1,2013-03-31,분기별 매출액,재작성 반영,35810000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000027/,35649000000,https://www.sec.gov/Archives/edgar/data/37996/000003799614000023/,10
Ford Motor,F,2013Q1,2013-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),193010000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000027/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000027/,10
Ford Motor,F,2013Q1,2013-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),175048000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000027/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000027/,10
Ford Motor,F,2013Q1,2013-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),17638000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000027/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000027/,10
Ford Motor,F,2013Q2,2013-06-30,분기별 매출액,재분류(미반영),38095000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000042/,37923000000,https://www.sec.gov/Archives/edgar/data/37996/000003799614000043/,10
Ford Motor,F,2013Q2,2013-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),196210000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000042/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000042/,10
Ford Motor,F,2013Q2,2013-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),176661000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000042/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000042/,10
Ford Motor,F,2013Q2,2013-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),19222000000,공시,https://www.sec.gov/Archives/edgar/data/37996/000003799613000042/,,https://www.sec.gov/Archives/edgar/data/37996/000003799613000042/,10
