기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Ford Motor,F,2010Q1,2010-03-31,분기별 매출액,31566000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,,10
Ford Motor,F,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,,10
Ford Motor,F,2010Q1,2010-03-31,분기별 당기순이익(지배),2085000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,,10
Ford Motor,F,2010Q1,2010-03-31,분기별 영업활동현금흐름,2683000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,,10
Ford Motor,F,2010Q1,2010-03-31,분기말 자산총계,191968000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,,10
Ford Motor,F,2010Q1,2010-03-31,분기말 부채총계,197405000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,,10
Ford Motor,F,2010Q1,2010-03-31,분기말 총자본(자기자본),-5437000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,,10
Ford Motor,F,2010Q1,2010-03-31,분기말 지배지분 자본,-5475000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,,10
Ford Motor,F,2010Q1,2010-03-31,분기말 종가,12.57,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/F?interval=1d&events=splits (2010-03-31),,10
Ford Motor,F,2010Q1,2010-04-29,분기말 상장주식수,3335728639,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
Ford Motor,F,2010Q1,2010-03-31,분기말 시가총액,41930108992,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/F?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/37996/000115752310002965/,종가 12.57 × 주식수 3335728639,10
Ford Motor,F,2010Q2,2010-06-30,분기별 매출액,35067000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310004856/,,10
Ford Motor,F,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/37996/000115752310004856/,,10
Ford Motor,F,2010Q2,2010-06-30,분기별 당기순이익(지배),2599000000,USD,공시,https://www.sec.gov/Archives/edgar/data/37996/000115752310004856/,,10
