기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Fastenal,FAST,2010Q1,2010-03-31,분기별 매출액,520772000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,,10
Fastenal,FAST,2010Q1,2010-03-31,분기별 영업이익,90436000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,,10
Fastenal,FAST,2010Q1,2010-03-31,분기별 당기순이익(지배),56034000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,,10
Fastenal,FAST,2010Q1,2010-03-31,분기별 영업활동현금흐름,79028000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,,10
Fastenal,FAST,2010Q1,2010-03-31,분기말 자산총계,1370275000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,,10
Fastenal,FAST,2010Q1,2010-03-31,분기말 부채총계,179310000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,부채및자본 1370275000 − 총자본 1190965000,10
Fastenal,FAST,2010Q1,2010-03-31,분기말 총자본(자기자본),1190965000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,"StockholdersEquity, MinorityInterest 태그 없음",10
Fastenal,FAST,2010Q1,2010-03-31,분기말 지배지분 자본,1190965000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,,10
Fastenal,FAST,2010Q1,2010-03-31,분기말 종가,47.99,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/FAST?interval=1d&events=splits (2010-03-31),분할조정 종가 5.9988 × 이후 분할계수 8,10
Fastenal,FAST,2010Q1,2010-04-23,분기말 상장주식수,147430712,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
Fastenal,FAST,2010Q1,2010-03-31,분기말 시가총액,7075199869,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/FAST?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,종가 47.99 × 주식수 147430712,10
Fastenal,FAST,2010Q2,2010-06-30,분기별 매출액,571183000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,,10
Fastenal,FAST,2010Q2,2010-06-30,분기별 영업이익,111836000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,,10
Fastenal,FAST,2010Q2,2010-06-30,분기별 당기순이익(지배),69167000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,,10
Fastenal,FAST,2010Q2,2010-06-30,분기별 영업활동현금흐름,40499000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/ ; https://www.sec.gov/Archives/edgar/data/815556/000119312510094840/,누적 119527000 − 직전누적 79028000 (시작 2010-01-01),10
Fastenal,FAST,2010Q2,2010-06-30,분기말 자산총계,1441855000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,,10
Fastenal,FAST,2010Q2,2010-06-30,분기말 부채총계,182986000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,부채및자본 1441855000 − 총자본 1258869000,10
Fastenal,FAST,2010Q2,2010-06-30,분기말 총자본(자기자본),1258869000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,"StockholdersEquity, MinorityInterest 태그 없음",10
Fastenal,FAST,2010Q2,2010-06-30,분기말 지배지분 자본,1258869000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,,10
Fastenal,FAST,2010Q2,2010-06-30,분기말 종가,50.19,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/FAST?interval=1d&events=splits (2010-06-30),분할조정 종가 6.2737 × 이후 분할계수 8,10
Fastenal,FAST,2010Q2,2010-07-21,분기말 상장주식수,147430712,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
Fastenal,FAST,2010Q2,2010-06-30,분기말 시가총액,7399547435,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/FAST?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,종가 50.19 × 주식수 147430712,10
Fastenal,FAST,2010Q3,2010-09-30,분기별 매출액,603750000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,,10
Fastenal,FAST,2010Q3,2010-09-30,분기별 영업이익,120510000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,,10
Fastenal,FAST,2010Q3,2010-09-30,분기별 당기순이익(지배),74994000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,,10
Fastenal,FAST,2010Q3,2010-09-30,분기별 영업활동현금흐름,46766000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/ ; https://www.sec.gov/Archives/edgar/data/815556/000119312510164626/,누적 166293000 − 직전누적 119527000 (시작 2010-01-01),10
Fastenal,FAST,2010Q3,2010-09-30,분기말 자산총계,1469337000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,,10
Fastenal,FAST,2010Q3,2010-09-30,분기말 부채총계,193962000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,부채및자본 1469337000 − 총자본 1275375000,10
Fastenal,FAST,2010Q3,2010-09-30,분기말 총자본(자기자본),1275375000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,"StockholdersEquity, MinorityInterest 태그 없음",10
Fastenal,FAST,2010Q3,2010-09-30,분기말 지배지분 자본,1275375000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,,10
Fastenal,FAST,2010Q3,2010-09-30,분기말 종가,53.19,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/FAST?interval=1d&events=splits (2010-09-30),분할조정 종가 6.6487 × 이후 분할계수 8,10
Fastenal,FAST,2010Q3,2010-10-19,분기말 상장주식수,147430712,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
Fastenal,FAST,2010Q3,2010-09-30,분기말 시가총액,7841839571,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/FAST?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,종가 53.19 × 주식수 147430712,10
Fastenal,FAST,2010Q4,2010-12-31,분기별 매출액,573766000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/ ; https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,연간 2269471000 − 9개월누적 1695705000 (SalesRevenueNet),10
Fastenal,FAST,2010Q4,2010-12-31,분기별 영업이익,106906000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/ ; https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,연간 429689000 − 9개월누적 322783000 (OperatingIncomeLoss),10
Fastenal,FAST,2010Q4,2010-12-31,분기별 당기순이익(지배),65161000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/ ; https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,연간 265356000 − 9개월누적 200195000 (NetIncomeLoss),10
Fastenal,FAST,2010Q4,2010-12-31,분기별 영업활동현금흐름,74195000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/ ; https://www.sec.gov/Archives/edgar/data/815556/000119312510233210/,누적 240488000 − 직전누적 166293000 (시작 2010-01-01),10
Fastenal,FAST,2010Q4,2010-12-31,분기말 자산총계,1468283000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/,,10
Fastenal,FAST,2010Q4,2010-12-31,분기말 부채총계,185771000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/,부채및자본 1468283000 − 총자본 1282512000,10
Fastenal,FAST,2010Q4,2010-12-31,분기말 총자본(자기자본),1282512000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/,"StockholdersEquity, MinorityInterest 태그 없음",10
Fastenal,FAST,2010Q4,2010-12-31,분기말 지배지분 자본,1282512000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/,,10
Fastenal,FAST,2010Q4,2010-12-31,분기말 종가,59.91,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/FAST?interval=1d&events=splits (2010-12-31),분할조정 종가 7.4887 × 이후 분할계수 8,10
Fastenal,FAST,2010Q4,2011-02-04,분기말 상장주식수,147430712,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
Fastenal,FAST,2010Q4,2010-12-31,분기말 시가총액,8832573956,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/FAST?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/,종가 59.91 × 주식수 147430712,10
Fastenal,FAST,2011Q1,2011-03-31,분기별 매출액,640583000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312511104739/,,10
Fastenal,FAST,2011Q1,2011-03-31,분기별 영업이익,128663000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312511104739/,,10
Fastenal,FAST,2011Q1,2011-03-31,분기별 당기순이익(지배),79547000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312511104739/,,10
Fastenal,FAST,2011Q1,2011-03-31,분기별 영업활동현금흐름,74284000,USD,공시,https://www.sec.gov/Archives/edgar/data/815556/000119312511104739/,,10
