기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기별 영업이익,2048000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기별 당기순이익(지배),945000000,USD,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,3개월 연결 1215000000 − 비지배 270000000,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기별 영업활동현금흐름,1818000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기말 자산총계,27113000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기말 부채총계,15280000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기말 총자본(자기자본),11833000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기말 지배지분 자본,9992000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기말 종가,83.54,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/FCX?interval=1d&events=splits (2010-03-31),분할조정 종가 41.77 × 이후 분할계수 2,6
Freeport-McMoRan,FCX,2010Q1,2010-04-30,분기말 상장주식수,432647792,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Freeport-McMoRan,FCX,2010Q1,2010-03-31,분기말 시가총액,36143396544,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/FCX?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,종가 83.54 × 주식수 432647792,6
Freeport-McMoRan,FCX,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/831259/000083125910000048/,,6
Freeport-McMoRan,FCX,2010Q2,2010-06-30,분기별 영업이익,1424000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000048/,,6
Freeport-McMoRan,FCX,2010Q2,2010-06-30,분기별 당기순이익(지배),664000000,USD,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/831259/000083125910000048/,3개월 연결 832000000 − 비지배 168000000,6
Freeport-McMoRan,FCX,2010Q2,2010-06-30,분기별 영업활동현금흐름,1064000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/831259/000083125910000048/ ; https://www.sec.gov/Archives/edgar/data/831259/000083125910000029/,누적 2882000000 − 직전누적 1818000000 (시작 2010-01-01),6
Freeport-McMoRan,FCX,2010Q2,2010-06-30,분기말 자산총계,25979000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000048/,,6
Freeport-McMoRan,FCX,2010Q2,2010-06-30,분기말 부채총계,13686000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000048/,,6
Freeport-McMoRan,FCX,2010Q2,2010-06-30,분기말 총자본(자기자본),12293000000,USD,공시,https://www.sec.gov/Archives/edgar/data/831259/000083125910000048/,,6
