기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
FirstEnergy,FE,2010Q1,2010-03-31,분기별 매출액,3299000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,,15
FirstEnergy,FE,2010Q1,2010-03-31,분기별 영업이익,416000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,,15
FirstEnergy,FE,2010Q1,2010-03-31,분기별 당기순이익(지배),155000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,,15
FirstEnergy,FE,2010Q1,2010-03-31,분기별 영업활동현금흐름,506000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,,15
FirstEnergy,FE,2010Q1,2010-03-31,분기말 자산총계,34078000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,,15
FirstEnergy,FE,2010Q1,2010-03-31,분기말 부채총계,25543000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,부채및자본 34078000000 − 총자본 8535000000,15
FirstEnergy,FE,2010Q1,2010-03-31,분기말 총자본(자기자본),8535000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,,15
FirstEnergy,FE,2010Q1,2010-03-31,분기말 지배지분 자본,8546000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,,15
FirstEnergy,FE,2010Q1,2010-03-31,분기말 종가,39.09,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/FE?interval=1d&events=splits (2010-03-31),,15
FirstEnergy,FE,2010Q1,2010-03-31,분기말 상장주식수,304835407,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
FirstEnergy,FE,2010Q1,2010-03-31,분기말 시가총액,11916016060,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/FE?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,종가 39.09 × 주식수 304835407,15
FirstEnergy,FE,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,,15
FirstEnergy,FE,2010Q2,2010-06-30,분기별 영업이익,526000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,,15
FirstEnergy,FE,2010Q2,2010-06-30,분기별 당기순이익(지배),265000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,,15
FirstEnergy,FE,2010Q2,2010-06-30,분기별 영업활동현금흐름,352000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/ ; https://www.sec.gov/Archives/edgar/data/1031296/000103129610000021/,누적 858000000 − 직전누적 506000000 (시작 2010-01-01),15
FirstEnergy,FE,2010Q2,2010-06-30,분기말 자산총계,34466000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,,15
FirstEnergy,FE,2010Q2,2010-06-30,분기말 부채총계,25647000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,부채및자본 34466000000 − 총자본 8819000000,15
FirstEnergy,FE,2010Q2,2010-06-30,분기말 총자본(자기자본),8819000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,,15
FirstEnergy,FE,2010Q2,2010-06-30,분기말 지배지분 자본,8839000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,,15
FirstEnergy,FE,2010Q2,2010-06-30,분기말 종가,35.23,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/FE?interval=1d&events=splits (2010-06-30),,15
FirstEnergy,FE,2010Q2,2010-07-31,분기말 상장주식수,304835407,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
FirstEnergy,FE,2010Q2,2010-06-30,분기말 시가총액,10739351389,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/FE?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1031296/000095012310071821/,종가 35.23 × 주식수 304835407,15
FirstEnergy,FE,2010Q3,2010-09-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1031296/000095012310096157/,,15
FirstEnergy,FE,2010Q3,2010-09-30,분기별 영업이익,415000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000095012310096157/,,15
FirstEnergy,FE,2010Q3,2010-09-30,분기별 당기순이익(지배),179000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1031296/000095012310096157/,,15
