기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Fidelity National Information Services,FIS,2010Q1,2010-03-31,분기별 영업이익,재분류(미반영),183800000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012310044403/,187400000,https://www.sec.gov/Archives/edgar/data/1136893/000095012311046453/,20
Fidelity National Information Services,FIS,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),176900000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012310072296/,184100000,https://www.sec.gov/Archives/edgar/data/1136893/000113689311000010/,20
Fidelity National Information Services,FIS,2010Q2,2010-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),13766300000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012310072296/,,https://www.sec.gov/Archives/edgar/data/1136893/000095012310072296/,20
Fidelity National Information Services,FIS,2010Q2,2010-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),5087800000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012310072296/,,https://www.sec.gov/Archives/edgar/data/1136893/000095012310072296/,20
Fidelity National Information Services,FIS,2010Q2,2010-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8678500000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012310072296/,,https://www.sec.gov/Archives/edgar/data/1136893/000095012310072296/,20
Fidelity National Information Services,FIS,2010Q3,2010-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),13555700000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012310101624/,,https://www.sec.gov/Archives/edgar/data/1136893/000095012310101624/,20
Fidelity National Information Services,FIS,2010Q3,2010-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),7134800000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012310101624/,,https://www.sec.gov/Archives/edgar/data/1136893/000095012310101624/,20
Fidelity National Information Services,FIS,2010Q3,2010-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),6420900000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012310101624/,,https://www.sec.gov/Archives/edgar/data/1136893/000095012310101624/,20
Fidelity National Information Services,FIS,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),253500000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1136893/000095012311018522/ ; https://www.sec.gov/Archives/edgar/data/1136893/000095012310101624/,235400000,https://www.sec.gov/Archives/edgar/data/1136893/000113689313000011/ ; https://www.sec.gov/Archives/edgar/data/1136893/000095012310101624/,20
Fidelity National Information Services,FIS,2010Q4,2010-12-31,분기말 자산총계,재작성 반영,14161800000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012311018522/,14176300000,https://www.sec.gov/Archives/edgar/data/1136893/000113689312000017/,20
Fidelity National Information Services,FIS,2010Q4,2010-12-31,분기말 부채총계,재작성 반영,7600200000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000095012311018522/,7614700000,https://www.sec.gov/Archives/edgar/data/1136893/000113689312000017/,20
Fidelity National Information Services,FIS,2011Q2,2011-06-30,분기별 영업이익,재분류(미반영),258900000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000113689311000010/,254600000,https://www.sec.gov/Archives/edgar/data/1136893/000113689312000046/,20
Fidelity National Information Services,FIS,2011Q3,2011-09-30,분기별 영업이익,재분류(미반영),276400000,공시,https://www.sec.gov/Archives/edgar/data/1136893/000113689311000024/,273200000,https://www.sec.gov/Archives/edgar/data/1136893/000113689312000054/,20
