기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Flex,FLEX,2011Q2,2011-07-01,분기별 매출액,재분류(미반영),7547751000,공시,https://www.sec.gov/Archives/edgar/data/866374/000110465911045335/,7495288000,https://www.sec.gov/Archives/edgar/data/866374/000104746913006516/,12
Flex,FLEX,2011Q3,2011-09-30,분기별 매출액,재분류(미반영),8044342000,공시,https://www.sec.gov/Archives/edgar/data/866374/000110465911061016/,8008428000,https://www.sec.gov/Archives/edgar/data/866374/000104746913006516/,12
Flex,FLEX,2011Q4,2011-12-31,분기별 매출액,재분류(미반영),7492723000,공시,https://www.sec.gov/Archives/edgar/data/866374/000110465912006174/,7469347000,https://www.sec.gov/Archives/edgar/data/866374/000104746913006516/,12
Flex,FLEX,2012Q1,2012-03-31,분기별 매출액,재분류(미반영),6302840000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/866374/000104746912006353/ ; https://www.sec.gov/Archives/edgar/data/866374/000110465912006174/,6369965000,https://www.sec.gov/Archives/edgar/data/866374/000104746914005069/ ; https://www.sec.gov/Archives/edgar/data/866374/000110465913007151/,12
Flex,FLEX,2012Q2,2012-06-29,분기별 매출액,재분류(미반영),5989544000,공시,https://www.sec.gov/Archives/edgar/data/866374/000110465912052187/,5975995000,https://www.sec.gov/Archives/edgar/data/866374/000104746914005069/,12
Flex,FLEX,2012Q4,2012-12-31,분기별 당기순이익(지배),재분류(미반영),25040000,공시,https://www.sec.gov/Archives/edgar/data/866374/000110465913007151/,47348000,https://www.sec.gov/Archives/edgar/data/866374/000104746914005069/,12
Flex,FLEX,2014Q1,2014-03-31,분기별 당기순이익(지배),재작성 반영,42975000,"계산(연간-3분기누적, 비지배 없음)",https://www.sec.gov/Archives/edgar/data/866374/000104746914005069/ ; https://www.sec.gov/Archives/edgar/data/866374/000110465914005587/,42595000,https://www.sec.gov/Archives/edgar/data/866374/000162828016016576/ ; https://www.sec.gov/Archives/edgar/data/866374/000110465914005587/,12
Flex,FLEX,2015Q1,2015-03-31,분기별 당기순이익(지배),재작성 반영,135112000,"계산(연간-3분기누적, 비지배 없음)",https://www.sec.gov/Archives/edgar/data/866374/000104746915004931/ ; https://www.sec.gov/Archives/edgar/data/866374/000110465915005354/,130840000,https://www.sec.gov/Archives/edgar/data/866374/000086637417000005/ ; https://www.sec.gov/Archives/edgar/data/866374/000110465915005354/,12
Flex,FLEX,2015Q1,2015-03-31,분기말 자산총계,재작성 반영,11665624000,공시,https://www.sec.gov/Archives/edgar/data/866374/000104746915004931/,11652891000,https://www.sec.gov/Archives/edgar/data/866374/000162828016016576/,12
Flex,FLEX,2015Q1,2015-03-31,분기말 부채총계,재작성 반영,9269374000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/866374/000104746915004931/,9256641000,https://www.sec.gov/Archives/edgar/data/866374/000162828016016576/,12
Flex,FLEX,2017Q1,2017-03-31,분기별 영업활동현금흐름,재분류(미반영),136721000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/866374/000086637417000005/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637417000002/,-4835296000,https://www.sec.gov/Archives/edgar/data/866374/000086637419000006/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637417000002/,12
Flex,FLEX,2017Q2,2017-06-30,분기별 영업활동현금흐름,재작성 반영,138516000,공시,https://www.sec.gov/Archives/edgar/data/866374/000086637417000008/,-695756000,https://www.sec.gov/Archives/edgar/data/866374/000086637418000010/,12
Flex,FLEX,2017Q3,2017-09-29,분기별 영업활동현금흐름,재작성 반영,142289000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/866374/000086637417000012/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637417000008/,-1476221000,https://www.sec.gov/Archives/edgar/data/866374/000086637418000013/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637418000010/,12
Flex,FLEX,2017Q4,2017-12-31,분기별 영업활동현금흐름,재작성 반영,150213000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/866374/000086637418000003/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637417000012/,-935609000,https://www.sec.gov/Archives/edgar/data/866374/000086637419000003/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637418000013/,12
Flex,FLEX,2018Q1,2018-03-31,분기별 영업활동현금흐름,재작성 반영,322580000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/866374/000086637418000007/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637418000003/,3861184000,https://www.sec.gov/Archives/edgar/data/866374/000086637418000007/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637419000003/,12
Flex,FLEX,2018Q2,2018-06-29,분기별 영업활동현금흐름,재작성 반영,-671808000,공시,https://www.sec.gov/Archives/edgar/data/866374/000086637418000010/,-943265000,https://www.sec.gov/Archives/edgar/data/866374/000086637419000010/,12
Flex,FLEX,2018Q3,2018-09-28,분기별 영업활동현금흐름,재작성 반영,-1035788000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/866374/000086637418000013/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637418000010/,-764331000,https://www.sec.gov/Archives/edgar/data/866374/000086637418000013/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637419000010/,12
Flex,FLEX,2022Q1,2022-03-31,분기별 매출액,재분류(미반영),6851000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/866374/000086637422000035/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637422000016/,5443000000,https://www.sec.gov/Archives/edgar/data/866374/000086637424000021/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637422000016/,12
Flex,FLEX,2022Q1,2022-03-31,분기별 영업이익,재분류(미반영),227000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/866374/000086637422000035/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637422000016/,145000000,https://www.sec.gov/Archives/edgar/data/866374/000086637424000021/ ; https://www.sec.gov/Archives/edgar/data/866374/000086637422000016/,12
Flex,FLEX,2022Q2,2022-07-01,분기별 매출액,재분류(미반영),7347000000,공시,https://www.sec.gov/Archives/edgar/data/866374/000086637422000052/,6961000000,https://www.sec.gov/Archives/edgar/data/866374/000086637424000021/,12
Flex,FLEX,2022Q2,2022-07-01,분기별 영업이익,재분류(미반영),272000000,공시,https://www.sec.gov/Archives/edgar/data/866374/000086637422000052/,253000000,https://www.sec.gov/Archives/edgar/data/866374/000086637424000021/,12
Flex,FLEX,2022Q3,2022-09-30,분기별 매출액,재분류(미반영),7766000000,공시,https://www.sec.gov/Archives/edgar/data/866374/000086637422000074/,7303000000,https://www.sec.gov/Archives/edgar/data/866374/000086637424000021/,12
Flex,FLEX,2022Q3,2022-09-30,분기별 영업이익,재분류(미반영),325000000,공시,https://www.sec.gov/Archives/edgar/data/866374/000086637422000074/,282000000,https://www.sec.gov/Archives/edgar/data/866374/000086637424000021/,12
