기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
First Solar,FSLR,2011Q3,2011-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),5723312000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000055/,,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000055/,16
First Solar,FSLR,2011Q3,2011-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),1697528000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000055/,,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000055/,16
First Solar,FSLR,2011Q3,2011-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),4025784000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000055/,,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000055/,16
First Solar,FSLR,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 반영,3605526000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449413000006/,3573294000,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/,16
First Solar,FSLR,2013Q4,2013-12-31,분기별 매출액,재작성 반영,768437000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1274494/000127449414000011/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449413000052/,769064000,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449413000052/,16
First Solar,FSLR,2013Q4,2013-12-31,분기별 영업이익,재작성 반영,60322000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1274494/000127449414000011/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449413000052/,62200000,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449413000052/,16
First Solar,FSLR,2013Q4,2013-12-31,분기별 당기순이익(지배),재작성 반영,65260000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1274494/000127449414000011/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449413000052/,62940000,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449413000052/,16
First Solar,FSLR,2013Q4,2013-12-31,분기말 지배지분 자본,재작성 반영,4503117000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000011/,4468071000,https://www.sec.gov/Archives/edgar/data/1274494/000127449417000006/,16
First Solar,FSLR,2014Q3,2014-09-30,분기별 매출액,재작성 반영,889310000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,890288000,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000042/,16
First Solar,FSLR,2014Q3,2014-09-30,분기별 영업이익,재작성 반영,83760000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,83875000,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000042/,16
First Solar,FSLR,2014Q3,2014-09-30,분기별 당기순이익(지배),재작성 반영,88424000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,89833000,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000042/,16
First Solar,FSLR,2014Q3,2014-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),6439954000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,16
First Solar,FSLR,2014Q3,2014-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),1646737000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,16
First Solar,FSLR,2014Q3,2014-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),4793217000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,16
First Solar,FSLR,2014Q4,2014-12-31,분기별 당기순이익(지배),재작성 반영,191959000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,193318000,https://www.sec.gov/Archives/edgar/data/1274494/000127449417000006/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449415000042/,16
First Solar,FSLR,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,927996000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,982523000,https://www.sec.gov/Archives/edgar/data/1274494/000127449417000006/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449414000042/,16
First Solar,FSLR,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,6724439000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/,6720991000,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/,16
First Solar,FSLR,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,1696952000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/,1729504000,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/,16
First Solar,FSLR,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 반영,5027487000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/,4991487000,https://www.sec.gov/Archives/edgar/data/1274494/000127449418000011/,16
First Solar,FSLR,2014Q4,2014-12-31,분기말 지배지분 자본,재작성 반영,5027487000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/,4991487000,https://www.sec.gov/Archives/edgar/data/1274494/000127449418000011/,16
First Solar,FSLR,2015Q1,2015-03-31,분기별 당기순이익(지배),재작성 반영,-62292000,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000012/,-60917000,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000074/,16
