기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
First Solar,FSLR,2010Q1,2010-03-27,분기별 매출액,567961000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1274494/000127449411000021/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-05-05 제출본의 비교기간에서 읽었다,16
First Solar,FSLR,2010Q1,2010-03-27,분기별 영업이익,191141000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,,16
First Solar,FSLR,2010Q1,2010-03-27,분기별 당기순이익(지배),172345000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,,16
First Solar,FSLR,2010Q1,2010-03-27,분기별 영업활동현금흐름,31273000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,,16
First Solar,FSLR,2010Q1,2010-03-27,분기말 자산총계,3473514000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,,16
First Solar,FSLR,2010Q1,2010-03-27,분기말 부채총계,626659000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,,16
First Solar,FSLR,2010Q1,2010-03-27,분기말 총자본(자기자본),2846855000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,"StockholdersEquity, MinorityInterest 태그 없음",16
First Solar,FSLR,2010Q1,2010-03-27,분기말 지배지분 자본,2846855000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,,16
First Solar,FSLR,2010Q1,2010-03-26,분기말 종가,116.5,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/FSLR?interval=1d&events=splits (2010-03-26),,16
First Solar,FSLR,2010Q1,2010-04-23,분기말 상장주식수,85291195,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,dei:EntityCommonStockSharesOutstanding 클래스 합,16
First Solar,FSLR,2010Q1,2010-03-26,분기말 시가총액,9936424218,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/FSLR?interval=1d&events=splits (2010-03-26) ; https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,종가 116.5 × 주식수 85291195,16
First Solar,FSLR,2010Q2,2010-06-26,분기별 매출액,587854000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1274494/000127449411000037/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-08-05 제출본의 비교기간에서 읽었다,16
First Solar,FSLR,2010Q2,2010-06-26,분기별 영업이익,180473000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000029/,,16
First Solar,FSLR,2010Q2,2010-06-26,분기별 당기순이익(지배),159043000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000029/,,16
First Solar,FSLR,2010Q2,2010-06-26,분기별 영업활동현금흐름,76327000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1274494/000127449410000029/ ; https://www.sec.gov/Archives/edgar/data/1274494/000127449410000012/,누적 107600000 − 직전누적 31273000 (시작 2009-12-27),16
First Solar,FSLR,2010Q2,2010-06-26,분기말 자산총계,3631315000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000029/,,16
First Solar,FSLR,2010Q2,2010-06-26,분기말 부채총계,619069000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000029/,,16
First Solar,FSLR,2010Q2,2010-06-26,분기말 총자본(자기자본),3012246000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1274494/000127449410000029/,"StockholdersEquity, MinorityInterest 태그 없음",16
First Solar,FSLR,2010Q2,2010-06-26,분기말 지배지분 자본,3012246000,USD,공시,https://www.sec.gov/Archives/edgar/data/1274494/000127449410000029/,,16
