기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
General Dynamics,GD,2010Q1,2010-04-04,분기별 매출액,7750000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,,6
General Dynamics,GD,2010Q1,2010-04-04,분기별 영업이익,918000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,,6
General Dynamics,GD,2010Q1,2010-04-04,분기별 당기순이익(지배),597000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,,6
General Dynamics,GD,2010Q1,2010-04-04,분기별 영업활동현금흐름,210000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,,6
General Dynamics,GD,2010Q1,2010-04-04,분기말 자산총계,31059000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,,6
General Dynamics,GD,2010Q1,2010-04-04,분기말 부채총계,18280000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,부채및자본 31059000000 − 총자본 12779000000,6
General Dynamics,GD,2010Q1,2010-04-04,분기말 총자본(자기자본),12779000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,"StockholdersEquity, MinorityInterest 태그 없음",6
General Dynamics,GD,2010Q1,2010-04-04,분기말 지배지분 자본,12779000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,,6
General Dynamics,GD,2010Q1,2010-04-01,분기말 종가,77.91,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/GD?interval=1d&events=splits (2010-04-01),,6
General Dynamics,GD,2010Q1,2010-04-04,분기말 상장주식수,385728673,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
General Dynamics,GD,2010Q1,2010-04-01,분기말 시가총액,30052120913,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/GD?interval=1d&events=splits (2010-04-01) ; https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,종가 77.91 × 주식수 385728673,6
General Dynamics,GD,2010Q2,2010-07-04,분기별 매출액,8104000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,,6
General Dynamics,GD,2010Q2,2010-07-04,분기별 영업이익,985000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,,6
General Dynamics,GD,2010Q2,2010-07-04,분기별 당기순이익(지배),648000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,,6
General Dynamics,GD,2010Q2,2010-07-04,분기별 영업활동현금흐름,477000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/ ; https://www.sec.gov/Archives/edgar/data/40533/000119312510106589/,누적 687000000 − 직전누적 210000000 (시작 2010-01-01),6
General Dynamics,GD,2010Q2,2010-07-04,분기말 자산총계,30872000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,,6
General Dynamics,GD,2010Q2,2010-07-04,분기말 부채총계,18033000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,부채및자본 30872000000 − 총자본 12839000000,6
General Dynamics,GD,2010Q2,2010-07-04,분기말 총자본(자기자본),12839000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,"StockholdersEquity, MinorityInterest 태그 없음",6
General Dynamics,GD,2010Q2,2010-07-04,분기말 지배지분 자본,12839000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,,6
General Dynamics,GD,2010Q2,2010-07-02,분기말 종가,58.7,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/GD?interval=1d&events=splits (2010-07-02),,6
General Dynamics,GD,2010Q2,2010-07-04,분기말 상장주식수,380374362,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
General Dynamics,GD,2010Q2,2010-07-02,분기말 시가총액,22327975049,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/GD?interval=1d&events=splits (2010-07-02) ; https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,종가 58.7 × 주식수 380374362,6
General Dynamics,GD,2010Q3,2010-10-03,분기별 매출액,8011000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510244217/,,6
General Dynamics,GD,2010Q3,2010-10-03,분기별 영업이익,966000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510244217/,,6
General Dynamics,GD,2010Q3,2010-10-03,분기별 당기순이익(지배),650000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510244217/,,6
General Dynamics,GD,2010Q3,2010-10-03,분기별 영업활동현금흐름,880000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/40533/000119312510244217/ ; https://www.sec.gov/Archives/edgar/data/40533/000119312510175291/,누적 1567000000 − 직전누적 687000000 (시작 2010-01-01),6
General Dynamics,GD,2010Q3,2010-10-03,분기말 자산총계,31483000000,USD,공시,https://www.sec.gov/Archives/edgar/data/40533/000119312510244217/,,6
