기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Gen Digital,GEN,2011Q1,2011-04-01,분기말 자산총계,재작성 검증 실패(원 공시 유지),12719000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000095012311052609/,,https://www.sec.gov/Archives/edgar/data/849399/000095012311071067/,21
Gen Digital,GEN,2011Q1,2011-04-01,분기말 부채총계,재작성 검증 실패(원 공시 유지),8114000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000095012311052609/,,https://www.sec.gov/Archives/edgar/data/849399/000095012311071067/,21
Gen Digital,GEN,2011Q1,2011-04-01,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),4605000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000095012311052609/,,https://www.sec.gov/Archives/edgar/data/849399/000095012311071067/,21
Gen Digital,GEN,2011Q1,2011-04-01,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),4528000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000095012311052609/,,https://www.sec.gov/Archives/edgar/data/849399/000095012311071067/,21
Gen Digital,GEN,2012Q1,2012-03-30,분기별 영업이익,재분류(미반영),192000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/ ; https://www.sec.gov/Archives/edgar/data/849399/000119312512032307/,217000000,https://www.sec.gov/Archives/edgar/data/849399/000119312514202922/ ; https://www.sec.gov/Archives/edgar/data/849399/000119312512032307/,21
Gen Digital,GEN,2012Q1,2012-03-30,분기별 당기순이익(지배),재분류(미반영),559000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/ ; https://www.sec.gov/Archives/edgar/data/849399/000119312512032307/,574000000,https://www.sec.gov/Archives/edgar/data/849399/000119312514202922/ ; https://www.sec.gov/Archives/edgar/data/849399/000119312512032307/,21
Gen Digital,GEN,2012Q1,2012-03-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),13020000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/,,https://www.sec.gov/Archives/edgar/data/849399/000119312512322450/,21
Gen Digital,GEN,2012Q1,2012-03-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),7848000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/,,https://www.sec.gov/Archives/edgar/data/849399/000119312512322450/,21
Gen Digital,GEN,2012Q1,2012-03-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),5172000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/,,https://www.sec.gov/Archives/edgar/data/849399/000119312512322450/,21
Gen Digital,GEN,2012Q1,2012-03-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),5094000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/,,https://www.sec.gov/Archives/edgar/data/849399/000119312512322450/,21
Gen Digital,GEN,2012Q2,2012-06-29,분기별 영업이익,재작성 반영,269000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312512325402/,250000000,https://www.sec.gov/Archives/edgar/data/849399/000119312513312695/,21
Gen Digital,GEN,2012Q2,2012-06-29,분기별 당기순이익(지배),재작성 반영,172000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312512325402/,160000000,https://www.sec.gov/Archives/edgar/data/849399/000119312513312695/,21
Gen Digital,GEN,2012Q3,2012-09-28,분기별 영업이익,재작성 반영,305000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312512441366/,297000000,https://www.sec.gov/Archives/edgar/data/849399/000119312513415692/,21
Gen Digital,GEN,2012Q3,2012-09-28,분기별 당기순이익(지배),재작성 반영,193000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312512441366/,189000000,https://www.sec.gov/Archives/edgar/data/849399/000119312513415692/,21
Gen Digital,GEN,2012Q4,2012-12-28,분기별 영업이익,재작성 반영,298000000,공시,https://www.sec.gov/Archives/edgar/data/849399/000119312513027986/,304000000,https://www.sec.gov/Archives/edgar/data/849399/000119312514033092/,21
