기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Gilead Sciences,GILD,2011Q3,2011-09-30,분기별 당기순이익(지배),재작성 반영,741124000,공시,https://www.sec.gov/Archives/edgar/data/882095/000119312511297580/,441956000,https://www.sec.gov/Archives/edgar/data/882095/000088209513000029/,4
Gilead Sciences,GILD,2012Q1,2012-03-31,분기별 당기순이익(지배),재작성 반영,437531000,공시,https://www.sec.gov/Archives/edgar/data/882095/000144530512001487/,441956000,https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/,4
Gilead Sciences,GILD,2012Q2,2012-06-30,분기별 당기순이익(지배),재작성 반영,706074000,공시,https://www.sec.gov/Archives/edgar/data/882095/000088209512000013/,711564000,https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/,4
Gilead Sciences,GILD,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9550869000,공시,https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/,,https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/,4
Gilead Sciences,GILD,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),9309739000,공시,https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/,,https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/,4
Gilead Sciences,GILD,2013Q4,2013-12-31,분기말 자산총계,재작성 반영,22496785000,공시,https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/,22579000000,https://www.sec.gov/Archives/edgar/data/882095/000088209515000008/,4
Gilead Sciences,GILD,2013Q4,2013-12-31,분기말 부채총계,재작성 반영,10688453000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/,10770668000,https://www.sec.gov/Archives/edgar/data/882095/000088209515000008/,4
Gilead Sciences,GILD,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,4874000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/882095/000088209516000039/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209515000033/,5795000000,https://www.sec.gov/Archives/edgar/data/882095/000088209518000008/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209515000033/,4
Gilead Sciences,GILD,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,51839000000,공시,https://www.sec.gov/Archives/edgar/data/882095/000088209516000039/,51716000000,https://www.sec.gov/Archives/edgar/data/882095/000088209517000006/,4
Gilead Sciences,GILD,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,32724000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/882095/000088209516000039/,32601000000,https://www.sec.gov/Archives/edgar/data/882095/000088209517000006/,4
Gilead Sciences,GILD,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,3913000000,공시,https://www.sec.gov/Archives/edgar/data/882095/000088209516000046/,4130000000,https://www.sec.gov/Archives/edgar/data/882095/000088209517000013/,4
Gilead Sciences,GILD,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,4940000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/882095/000088209516000054/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209516000046/,4985000000,https://www.sec.gov/Archives/edgar/data/882095/000088209517000020/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209517000013/,4
Gilead Sciences,GILD,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,4330000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/882095/000088209516000060/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209516000054/,4393000000,https://www.sec.gov/Archives/edgar/data/882095/000088209517000027/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209517000020/,4
Gilead Sciences,GILD,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,3486000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/882095/000088209517000006/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209516000060/,3539000000,https://www.sec.gov/Archives/edgar/data/882095/000088209519000006/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209517000027/,4
Gilead Sciences,GILD,2019Q1,2019-03-31,분기별 영업활동현금흐름,재작성 반영,1444000000,공시,https://www.sec.gov/Archives/edgar/data/882095/000088209519000014/,1577000000,https://www.sec.gov/Archives/edgar/data/882095/000088209520000013/,4
Gilead Sciences,GILD,2019Q2,2019-06-30,분기별 영업활동현금흐름,재작성 반영,2221000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/882095/000088209519000020/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209519000014/,2342000000,https://www.sec.gov/Archives/edgar/data/882095/000088209520000019/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209520000013/,4
Gilead Sciences,GILD,2019Q3,2019-09-30,분기별 영업활동현금흐름,재작성 반영,2899000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/882095/000088209519000027/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209519000020/,2645000000,https://www.sec.gov/Archives/edgar/data/882095/000088209519000027/ ; https://www.sec.gov/Archives/edgar/data/882095/000088209520000019/,4
Gilead Sciences,GILD,2012Q4,2012-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),11688969000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/,11695838000,https://www.sec.gov/Archives/edgar/data/882095/000088209513000015/,4
