기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
General Mills,GIS,2011Q2,2011-05-29,분기별 영업활동현금흐름,재작성 반영,278700000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/40704/000095012311064606/ ; https://www.sec.gov/Archives/edgar/data/40704/000095012311028211/,283000000,https://www.sec.gov/Archives/edgar/data/40704/000119312513282371/ ; https://www.sec.gov/Archives/edgar/data/40704/000095012311028211/,18
General Mills,GIS,2011Q4,2011-11-27,분기별 영업활동현금흐름,재작성 반영,712400000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/40704/000119312511347162/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312511253354/,715700000,https://www.sec.gov/Archives/edgar/data/40704/000119312512508388/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312511253354/,18
General Mills,GIS,2012Q1,2012-02-26,분기별 영업활동현금흐름,재작성 반영,504000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/40704/000119312512125489/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312511347162/,505100000,https://www.sec.gov/Archives/edgar/data/40704/000119312513117256/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312512508388/,18
General Mills,GIS,2012Q2,2012-05-27,분기별 영업활동현금흐름,재작성 반영,744800000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/40704/000119312512293636/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312512125489/,745600000,https://www.sec.gov/Archives/edgar/data/40704/000119312514260716/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312513117256/,18
General Mills,GIS,2015Q2,2015-05-31,분기말 자산총계,재작성 반영,21964500000,공시,https://www.sec.gov/Archives/edgar/data/40704/000119312515245476/,21832000000,https://www.sec.gov/Archives/edgar/data/40704/000119312516638404/,18
General Mills,GIS,2015Q2,2015-05-31,분기말 부채총계,재작성 반영,15792900000,공시,https://www.sec.gov/Archives/edgar/data/40704/000119312515245476/,15660400000,https://www.sec.gov/Archives/edgar/data/40704/000119312516638404/,18
General Mills,GIS,2017Q2,2017-05-28,분기별 영업이익,재작성 반영,609200000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/40704/000119312517217396/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312517090879/,534900000,https://www.sec.gov/Archives/edgar/data/40704/000119312519184675/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312517090879/,18
General Mills,GIS,2017Q3,2017-08-27,분기별 영업이익,재작성 반영,625800000,공시,https://www.sec.gov/Archives/edgar/data/40704/000119312517289410/,605300000,https://www.sec.gov/Archives/edgar/data/40704/000119312518276507/,18
General Mills,GIS,2017Q4,2017-11-26,분기별 영업이익,재작성 반영,729800000,공시,https://www.sec.gov/Archives/edgar/data/40704/000119312517374688/,709000000,https://www.sec.gov/Archives/edgar/data/40704/000119312518353281/,18
General Mills,GIS,2018Q1,2018-02-25,분기별 영업이익,재작성 반영,592700000,공시,https://www.sec.gov/Archives/edgar/data/40704/000119312518090832/,569500000,https://www.sec.gov/Archives/edgar/data/40704/000119312519080962/,18
General Mills,GIS,2018Q2,2018-05-27,분기별 영업이익,재작성 반영,561000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/40704/000119312518209377/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312518090832/,536100000,https://www.sec.gov/Archives/edgar/data/40704/000119312520186469/ ; https://www.sec.gov/Archives/edgar/data/40704/000119312519080962/,18
