기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Corning,GLW,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,,5
Corning,GLW,2010Q1,2010-03-31,분기별 영업이익,403000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,,5
Corning,GLW,2010Q1,2010-03-31,분기별 당기순이익(지배),816000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,,5
Corning,GLW,2010Q1,2010-03-31,분기별 영업활동현금흐름,643000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,,5
Corning,GLW,2010Q1,2010-03-31,분기말 자산총계,21727000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,,5
Corning,GLW,2010Q1,2010-03-31,분기말 부채총계,5374000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,,5
Corning,GLW,2010Q1,2010-03-31,분기말 총자본(자기자본),16353000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,,5
Corning,GLW,2010Q1,2010-03-31,분기말 지배지분 자본,16302000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,,5
Corning,GLW,2010Q1,2010-03-31,분기말 종가,20.21,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/GLW?interval=1d&events=splits (2010-03-31),,5
Corning,GLW,2010Q1,2010-04-16,분기말 상장주식수,1560761299,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
Corning,GLW,2010Q1,2010-03-31,분기말 시가총액,31542985853,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/GLW?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/24741/000002474110000018/,종가 20.21 × 주식수 1560761299,5
Corning,GLW,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/24741/000002474110000047/,,5
Corning,GLW,2010Q2,2010-06-30,분기별 영업이익,430000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000047/,,5
Corning,GLW,2010Q2,2010-06-30,분기별 당기순이익(지배),913000000,USD,공시,https://www.sec.gov/Archives/edgar/data/24741/000002474110000047/,,5
