기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Generac,GNRC,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1882542000,공시,https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/,,https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/,27
Generac,GNRC,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1392743000,공시,https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/,,https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/,27
Generac,GNRC,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),489799000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/,,https://www.sec.gov/Archives/edgar/data/1474735/000143774915003654/,27
Generac,GNRC,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,1792816000,공시,https://www.sec.gov/Archives/edgar/data/1474735/000143774916026187/,1778635000,https://www.sec.gov/Archives/edgar/data/1474735/000143774918003334/,27
Generac,GNRC,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,1326945000,공시,https://www.sec.gov/Archives/edgar/data/1474735/000143774916026187/,1312764000,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,27
Generac,GNRC,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,77231000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/ ; https://www.sec.gov/Archives/edgar/data/1474735/000143774916041147/,75366000,https://www.sec.gov/Archives/edgar/data/1474735/000143774919003397/ ; https://www.sec.gov/Archives/edgar/data/1474735/000143774916041147/,27
Generac,GNRC,2016Q4,2016-12-31,분기별 당기순이익(지배),재작성 반영,41509000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/ ; https://www.sec.gov/Archives/edgar/data/1474735/000143774916041147/,39875000,https://www.sec.gov/Archives/edgar/data/1474735/000143774919003397/ ; https://www.sec.gov/Archives/edgar/data/1474735/000143774916041147/,27
Generac,GNRC,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,123896000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/ ; https://www.sec.gov/Archives/edgar/data/1474735/000143774916041147/,111609000,https://www.sec.gov/Archives/edgar/data/1474735/000143774919003397/ ; https://www.sec.gov/Archives/edgar/data/1474735/000143774916041147/,27
Generac,GNRC,2016Q4,2016-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1861684000,공시,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,27
Generac,GNRC,2016Q4,2016-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1427434000,공시,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,27
Generac,GNRC,2016Q4,2016-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),401112000,공시,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,27
Generac,GNRC,2016Q4,2016-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),401122000,공시,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,,https://www.sec.gov/Archives/edgar/data/1474735/000143774917003237/,27
