기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Generac,GNRC,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910028381/,,27
Generac,GNRC,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910028381/,,27
Generac,GNRC,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910028381/,,27
Generac,GNRC,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910028381/,,27
Generac,GNRC,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910028381/,,27
Generac,GNRC,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910028381/,,27
Generac,GNRC,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910028381/,,27
Generac,GNRC,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910028381/,,27
Generac,GNRC,2010Q1,2010-03-31,분기말 종가,14.01,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/GNRC?interval=1d&events=splits (2010-03-31),,27
Generac,GNRC,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,27
Generac,GNRC,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,27
Generac,GNRC,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910044364/,,27
Generac,GNRC,2010Q2,2010-06-30,분기별 영업이익,18854000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1474735/000147473511000032/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-12 제출본의 비교기간에서 읽었다,27
Generac,GNRC,2010Q2,2010-06-30,분기별 당기순이익(지배),12834000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1474735/000147473511000032/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-12 제출본의 비교기간에서 읽었다,27
Generac,GNRC,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910044364/,,27
Generac,GNRC,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910044364/,,27
Generac,GNRC,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910044364/,,27
Generac,GNRC,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910044364/,,27
Generac,GNRC,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000110465910044364/,,27
Generac,GNRC,2010Q2,2010-06-30,분기말 종가,14.01,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/GNRC?interval=1d&events=splits (2010-06-30),,27
Generac,GNRC,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,27
Generac,GNRC,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,27
Generac,GNRC,2010Q3,2010-09-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000147473510000013/,,27
Generac,GNRC,2010Q3,2010-09-30,분기별 영업이익,29770000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1474735/000147473511000042/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-11-14 제출본의 비교기간에서 읽었다,27
Generac,GNRC,2010Q3,2010-09-30,분기별 당기순이익(지배),22998000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1474735/000147473511000042/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-11-14 제출본의 비교기간에서 읽었다,27
Generac,GNRC,2010Q3,2010-09-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000147473510000013/,,27
Generac,GNRC,2010Q3,2010-09-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000147473510000013/,,27
Generac,GNRC,2010Q3,2010-09-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000147473510000013/,,27
Generac,GNRC,2010Q3,2010-09-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000147473510000013/,,27
Generac,GNRC,2010Q3,2010-09-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1474735/000147473510000013/,,27
