기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Garmin,GRMN,2010Q1,2010-03-27,분기별 매출액,431067000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,,10
Garmin,GRMN,2010Q1,2010-03-27,분기별 영업이익,83348000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,,10
Garmin,GRMN,2010Q1,2010-03-27,분기별 당기순이익(지배),37329000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,,10
Garmin,GRMN,2010Q1,2010-03-27,분기별 영업활동현금흐름,200131000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,,10
Garmin,GRMN,2010Q1,2010-03-27,분기말 자산총계,3551528000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,,10
Garmin,GRMN,2010Q1,2010-03-27,분기말 부채총계,996593000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,부채및자본 3551528000 − 총자본 2554935000,10
Garmin,GRMN,2010Q1,2010-03-27,분기말 총자본(자기자본),2554935000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,,10
Garmin,GRMN,2010Q1,2010-03-27,분기말 지배지분 자본,2554935000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",10
Garmin,GRMN,2010Q1,2010-03-26,분기말 종가,39.94,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/GRMN?interval=1d&events=splits (2010-03-26),,10
Garmin,GRMN,2010Q1,2010-05-01,분기말 상장주식수,199171926,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
Garmin,GRMN,2010Q1,2010-03-26,분기말 시가총액,7954926724,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/GRMN?interval=1d&events=splits (2010-03-26) ; https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,종가 39.94 × 주식수 199171926,10
Garmin,GRMN,2010Q2,2010-06-26,분기별 매출액,728765000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/,,10
Garmin,GRMN,2010Q2,2010-06-26,분기별 영업이익,202043000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/,,10
Garmin,GRMN,2010Q2,2010-06-26,분기별 당기순이익(지배),134816000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/,,10
Garmin,GRMN,2010Q2,2010-06-26,분기별 영업활동현금흐름,181736000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/ ; https://www.sec.gov/Archives/edgar/data/1121788/000114420410024521/,누적 381867000 − 직전누적 200131000 (시작 2009-12-27),10
Garmin,GRMN,2010Q2,2010-06-26,분기말 자산총계,3431359000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/,,10
Garmin,GRMN,2010Q2,2010-06-26,분기말 부채총계,779745000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/,부채및자본 3431359000 − 총자본 2651614000,10
Garmin,GRMN,2010Q2,2010-06-26,분기말 총자본(자기자본),2651614000,USD,공시,https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/,,10
Garmin,GRMN,2010Q2,2010-06-26,분기말 지배지분 자본,2651614000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",10
Garmin,GRMN,2010Q2,2010-06-25,분기말 종가,32.02,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/GRMN?interval=1d&events=splits (2010-06-25),,10
Garmin,GRMN,2010Q2,2010-08-02,분기말 상장주식수,194596361,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1121788/000114420410041076/,dei:EntityCommonStockSharesOutstanding 클래스 합,10
