기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
HCA Healthcare,HCA,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310046003/,,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000860730: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000860730: OperatingIncomeLoss 태그 없음(영업이익 미공시),,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기별 당기순이익(지배),388000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/860730/000095012311048955/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-11 제출본의 비교기간에서 읽었다,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310046003/,,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310046003/,,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310046003/,,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310046003/,,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310046003/,,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기말 종가,데이터 없음(API 최초 거래일 2011-03-10 이전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/HCA (firstTradeDate 2011-03-10),,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기말 상장주식수,데이터 없음(API 최초 거래일 2011-03-10 이전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/HCA (firstTradeDate 2011-03-10),,7
HCA Healthcare,HCA,2010Q1,2010-03-31,분기말 시가총액,데이터 없음(API 최초 거래일 2011-03-10 이전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/HCA (firstTradeDate 2011-03-10),,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310076187/,,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000860730: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000860730: OperatingIncomeLoss 태그 없음(영업이익 미공시),,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기별 당기순이익(지배),293000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/860730/000095012311073723/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-05 제출본의 비교기간에서 읽었다,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310076187/,,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310076187/,,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310076187/,,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310076187/,,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/860730/000095012310076187/,,7
HCA Healthcare,HCA,2010Q2,2010-06-30,분기말 종가,데이터 없음(API 최초 거래일 2011-03-10 이전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/HCA (firstTradeDate 2011-03-10),,7
