기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Huntington Ingalls,HII,2011Q2,2011-06-30,분기별 영업이익,재작성 반영,91000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000119312511219011/,89000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158513000003/,29
Huntington Ingalls,HII,2011Q2,2011-06-30,분기별 당기순이익(지배),재작성 반영,40000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000119312511219011/,39000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158513000003/,29
Huntington Ingalls,HII,2011Q3,2011-09-30,분기별 영업이익,재작성 반영,-190000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000119312511305928/,-193000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158513000003/,29
Huntington Ingalls,HII,2011Q4,2011-12-31,분기말 자산총계,재작성 반영,6001000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000119312512138529/,6069000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/,29
Huntington Ingalls,HII,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,5129000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000119312512138529/,5210000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158513000003/,29
Huntington Ingalls,HII,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 반영,872000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000119312512138529/,859000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158513000003/,29
Huntington Ingalls,HII,2011Q4,2011-12-31,분기말 지배지분 자본,재작성 반영,872000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000119312512138529/,859000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158515000005/,29
Huntington Ingalls,HII,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),6225000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/,,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/,29
Huntington Ingalls,HII,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),4704000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/,,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/,29
Huntington Ingalls,HII,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1521000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/,,https://www.sec.gov/Archives/edgar/data/1501585/000150158514000005/,29
Huntington Ingalls,HII,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,402000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1501585/000150158515000005/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158514000039/,441000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000005/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158514000039/,29
Huntington Ingalls,HII,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,6269000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158515000005/,6239000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000005/,29
Huntington Ingalls,HII,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,4904000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158515000005/,4874000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000038/,29
Huntington Ingalls,HII,2015Q1,2015-03-31,분기별 영업활동현금흐름,재작성 반영,-3000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158515000014/,10000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000044/,29
Huntington Ingalls,HII,2015Q3,2015-09-30,분기별 영업활동현금흐름,재작성 반영,254000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1501585/000150158515000033/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158515000027/,252000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000065/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158516000060/,29
Huntington Ingalls,HII,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,411000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1501585/000150158516000038/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158515000033/,433000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158518000006/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158516000065/,29
Huntington Ingalls,HII,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,268000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1501585/000150158517000005/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158516000065/,286000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158519000005/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158516000065/,29
Huntington Ingalls,HII,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,164000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000010/,168000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158519000005/,29
Huntington Ingalls,HII,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,237000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000020/,241000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158519000005/,29
Huntington Ingalls,HII,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,237000000,공시,https://www.sec.gov/Archives/edgar/data/1501585/000150158517000026/,241000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158519000005/,29
Huntington Ingalls,HII,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,227000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1501585/000150158518000006/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158517000026/,231000000,https://www.sec.gov/Archives/edgar/data/1501585/000150158519000005/ ; https://www.sec.gov/Archives/edgar/data/1501585/000150158518000035/,29
