기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Honeywell International,HON,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),7776000000,공시,https://www.sec.gov/Archives/edgar/data/773840/000093041310002069/,7536000000,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/,9
Honeywell International,HON,2010Q1,2010-03-31,분기별 당기순이익(지배),재작성 반영,386000000,공시,https://www.sec.gov/Archives/edgar/data/773840/000093041310002069/,489000000,https://www.sec.gov/Archives/edgar/data/773840/000093041311002923/,9
Honeywell International,HON,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),8161000000,공시,https://www.sec.gov/Archives/edgar/data/773840/000093041310004278/,7926000000,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/,9
Honeywell International,HON,2010Q2,2010-06-30,분기별 당기순이익(지배),재분류(미반영),468000000,공시,https://www.sec.gov/Archives/edgar/data/773840/000093041310004278/,566000000,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/,9
Honeywell International,HON,2010Q3,2010-09-30,분기별 매출액,재분류(미반영),8392000000,공시,https://www.sec.gov/Archives/edgar/data/773840/000093041310005192/,8139000000,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/,9
Honeywell International,HON,2010Q3,2010-09-30,분기별 당기순이익(지배),재분류(미반영),499000000,공시,https://www.sec.gov/Archives/edgar/data/773840/000093041310005192/,598000000,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/,9
Honeywell International,HON,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),9041000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/773840/000093041311000961/ ; https://www.sec.gov/Archives/edgar/data/773840/000093041310005192/,8749000000,https://www.sec.gov/Archives/edgar/data/773840/000093041312000976/ ; https://www.sec.gov/Archives/edgar/data/773840/000093041311006765/,9
Honeywell International,HON,2010Q4,2010-12-31,분기별 당기순이익(지배),재분류(미반영),669000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/773840/000093041311000961/ ; https://www.sec.gov/Archives/edgar/data/773840/000093041310005192/,369000000,https://www.sec.gov/Archives/edgar/data/773840/000093041311000961/ ; https://www.sec.gov/Archives/edgar/data/773840/000093041311006765/,9
Honeywell International,HON,2011Q1,2011-03-31,분기별 매출액,재분류(미반영),8909000000,공시,https://www.sec.gov/Archives/edgar/data/773840/000093041311002923/,8672000000,https://www.sec.gov/Archives/edgar/data/773840/000093041312002323/,9
Honeywell International,HON,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,1762000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/773840/000093041315000621/ ; https://www.sec.gov/Archives/edgar/data/773840/000093041314004352/,1818000000,https://www.sec.gov/Archives/edgar/data/773840/000093041317000391/ ; https://www.sec.gov/Archives/edgar/data/773840/000093041314004352/,9
