기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Hewlett Packard Enterprise,HPE,2015Q3,2015-10-31,분기말 자산총계,재작성 반영,81270000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000104746915009279/,79916000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/,8
Hewlett Packard Enterprise,HPE,2015Q3,2015-10-31,분기말 부채총계,재작성 반영,47352000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1645590/000104746915009279/,45998000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/,8
Hewlett Packard Enterprise,HPE,2016Q1,2016-04-30,분기별 매출액,재분류(미반영),12711000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000104746916013717/,8509000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828017006325/,8
Hewlett Packard Enterprise,HPE,2016Q1,2016-04-30,분기별 영업이익,재분류(미반영),492000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000104746916013717/,451000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828017006325/,8
Hewlett Packard Enterprise,HPE,2016Q2,2016-07-31,분기별 매출액,재분류(미반영),12210000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828016019456/,8005000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,8
Hewlett Packard Enterprise,HPE,2016Q2,2016-07-31,분기별 영업이익,재분류(미반영),2497000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828016019456/,2645000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,8
Hewlett Packard Enterprise,HPE,2016Q3,2016-10-31,분기별 매출액,재분류(미반영),12478000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828016019456/,5234000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,8
Hewlett Packard Enterprise,HPE,2016Q3,2016-10-31,분기별 영업이익,재분류(미반영),777000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828016019456/,335000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,8
Hewlett Packard Enterprise,HPE,2016Q3,2016-10-31,분기별 영업활동현금흐름,재분류(미반영),2212000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828016019456/,2310000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828016019456/,8
Hewlett Packard Enterprise,HPE,2016Q3,2016-10-31,분기말 자산총계,재작성 반영,79679000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/,79629000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/,8
Hewlett Packard Enterprise,HPE,2016Q3,2016-10-31,분기말 부채총계,재작성 반영,48161000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/,48111000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/,8
Hewlett Packard Enterprise,HPE,2016Q4,2017-01-31,분기별 매출액,재분류(미반영),11407000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828017002444/,6902000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/,8
Hewlett Packard Enterprise,HPE,2016Q4,2017-01-31,분기별 영업이익,재분류(미반영),463000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828017002444/,453000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/,8
Hewlett Packard Enterprise,HPE,2016Q4,2017-01-31,분기별 영업활동현금흐름,재분류(미반영),-1464000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828017002444/,-1190000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018003043/,8
Hewlett Packard Enterprise,HPE,2017Q1,2017-04-30,분기별 매출액,재분류(미반영),7445000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828017006325/,6808000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/,8
Hewlett Packard Enterprise,HPE,2017Q1,2017-04-30,분기별 영업이익,재분류(미반영),182000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828017006325/,195000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/,8
Hewlett Packard Enterprise,HPE,2017Q1,2017-04-30,분기별 영업활동현금흐름,재분류(미반영),636000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1645590/000162828017006325/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828017002444/,739000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018007715/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828018003043/,8
Hewlett Packard Enterprise,HPE,2017Q2,2017-07-31,분기별 매출액,재분류(미반영),8209000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,7501000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/,8
Hewlett Packard Enterprise,HPE,2017Q2,2017-07-31,분기별 영업이익,재분류(미반영),147000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,201000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/,8
Hewlett Packard Enterprise,HPE,2017Q2,2017-07-31,분기별 영업활동현금흐름,재분류(미반영),891000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828017006325/,955000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018011596/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828018007715/,8
Hewlett Packard Enterprise,HPE,2017Q3,2017-10-31,분기별 매출액,재분류(미반영),5661000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,7660000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828018011596/,8
Hewlett Packard Enterprise,HPE,2017Q3,2017-10-31,분기별 영업이익,재분류(미반영),-160000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,-285000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828018011596/,8
Hewlett Packard Enterprise,HPE,2017Q3,2017-10-31,분기별 영업활동현금흐름,재분류(미반영),826000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828017009143/,831000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828018011596/,8
Hewlett Packard Enterprise,HPE,2017Q4,2018-01-31,분기별 영업이익,재분류(미반영),261000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828018003043/,228000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/,8
Hewlett Packard Enterprise,HPE,2018Q1,2018-04-30,분기별 영업이익,재분류(미반영),397000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828018007715/,366000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/,8
Hewlett Packard Enterprise,HPE,2018Q2,2018-07-31,분기별 영업이익,재분류(미반영),516000000,공시,https://www.sec.gov/Archives/edgar/data/1645590/000162828018011596/,490000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/,8
Hewlett Packard Enterprise,HPE,2018Q3,2018-10-31,분기별 영업이익,재분류(미반영),684000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/ ; https://www.sec.gov/Archives/edgar/data/1645590/000162828018011596/,653000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559020000056/ ; https://www.sec.gov/Archives/edgar/data/1645590/000164559019000030/,8
