기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
HP,HPQ,2010Q1,2010-04-30,분기별 매출액,30849000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,,13
HP,HPQ,2010Q1,2010-04-30,분기별 영업이익,2858000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,,13
HP,HPQ,2010Q1,2010-04-30,분기별 당기순이익(지배),2200000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,,13
HP,HPQ,2010Q1,2010-04-30,분기별 영업활동현금흐름,3091000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/ ; https://www.sec.gov/Archives/edgar/data/47217/000104746910002073/,누적 5498000000 − 직전누적 2407000000 (시작 2009-11-01),13
HP,HPQ,2010Q1,2010-04-30,분기말 자산총계,115994000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,,13
HP,HPQ,2010Q1,2010-04-30,분기말 부채총계,72182000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,부채및자본 115994000000 − 총자본 43812000000,13
HP,HPQ,2010Q1,2010-04-30,분기말 총자본(자기자본),43812000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,,13
HP,HPQ,2010Q1,2010-04-30,분기말 지배지분 자본,43511000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,,13
HP,HPQ,2010Q1,2010-04-30,분기말 종가,51.97,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HPQ?interval=1d&events=splits (2010-04-30),분할조정 종가 23.6013 × 이후 분할계수 2.202,13
HP,HPQ,2010Q1,2010-05-31,분기말 상장주식수,2334496184,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,dei:EntityCommonStockSharesOutstanding 클래스 합,13
HP,HPQ,2010Q1,2010-04-30,분기말 시가총액,121323766682,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/HPQ?interval=1d&events=splits (2010-04-30) ; https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,종가 51.97 × 주식수 2334496184,13
HP,HPQ,2010Q2,2010-07-31,분기별 매출액,30729000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,,13
HP,HPQ,2010Q2,2010-07-31,분기별 영업이익,2323000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,,13
HP,HPQ,2010Q2,2010-07-31,분기별 당기순이익(지배),1773000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,,13
HP,HPQ,2010Q2,2010-07-31,분기별 영업활동현금흐름,3273000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/ ; https://www.sec.gov/Archives/edgar/data/47217/000104746910005835/,누적 8771000000 − 직전누적 5498000000 (시작 2009-11-01),13
HP,HPQ,2010Q2,2010-07-31,분기말 자산총계,120017000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,,13
HP,HPQ,2010Q2,2010-07-31,분기말 부채총계,77182000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,부채및자본 120017000000 − 총자본 42835000000,13
HP,HPQ,2010Q2,2010-07-31,분기말 총자본(자기자본),42835000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,,13
HP,HPQ,2010Q2,2010-07-31,분기말 지배지분 자본,42535000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,,13
HP,HPQ,2010Q2,2010-07-30,분기말 종가,46.04,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HPQ?interval=1d&events=splits (2010-07-30),분할조정 종가 20.9083 × 이후 분할계수 2.202,13
HP,HPQ,2010Q2,2010-08-31,분기말 상장주식수,2267742673,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,dei:EntityCommonStockSharesOutstanding 클래스 합,13
HP,HPQ,2010Q2,2010-07-30,분기말 시가총액,104406872665,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/HPQ?interval=1d&events=splits (2010-07-30) ; https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,종가 46.04 × 주식수 2267742673,13
HP,HPQ,2010Q3,2010-10-31,분기별 매출액,33278000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/ ; https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,연간 126033000000 − 9개월누적 92755000000 (Revenues),13
HP,HPQ,2010Q3,2010-10-31,분기별 영업이익,3295000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/ ; https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,연간 11479000000 − 9개월누적 8184000000 (OperatingIncomeLoss),13
HP,HPQ,2010Q3,2010-10-31,분기별 당기순이익(지배),2538000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/ ; https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,연간 8761000000 − 9개월누적 6223000000 (NetIncomeLoss),13
HP,HPQ,2010Q3,2010-10-31,분기별 영업활동현금흐름,3151000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/ ; https://www.sec.gov/Archives/edgar/data/47217/000104746910007964/,누적 11922000000 − 직전누적 8771000000 (시작 2009-11-01),13
HP,HPQ,2010Q3,2010-10-31,분기말 자산총계,124503000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/,,13
HP,HPQ,2010Q3,2010-10-31,분기말 부채총계,83722000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/,부채및자본 124503000000 − 총자본 40781000000,13
HP,HPQ,2010Q3,2010-10-31,분기말 총자본(자기자본),40781000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/,,13
HP,HPQ,2010Q3,2010-10-31,분기말 지배지분 자본,40449000000,USD,공시,https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/,,13
HP,HPQ,2010Q3,2010-10-29,분기말 종가,42.04,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HPQ?interval=1d&events=splits (2010-10-29),분할조정 종가 19.0917 × 이후 분할계수 2.202,13
HP,HPQ,2010Q3,2010-11-30,분기말 상장주식수,2190425610,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/47217/000104746910010444/,dei:EntityCommonStockSharesOutstanding 클래스 합,13
