기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Hershey,HSY,2011Q4,2011-12-31,분기별 당기순이익(지배),재작성 반영,158792000,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711111000079/,139733000,https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711111000079/,13
Hershey,HSY,2011Q4,2011-12-31,분기말 자산총계,재작성 반영,4412199000,공시,https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/,4407094000,https://www.sec.gov/Archives/edgar/data/47111/000004711113000007/,13
Hershey,HSY,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,3539551000,공시,https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/,3526151000,https://www.sec.gov/Archives/edgar/data/47111/000004711113000007/,13
Hershey,HSY,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 반영,872648000,공시,https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/,880943000,https://www.sec.gov/Archives/edgar/data/47111/000004711113000007/,13
Hershey,HSY,2011Q4,2011-12-31,분기말 지배지분 자본,재작성 반영,849022000,공시,https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/,857317000,https://www.sec.gov/Archives/edgar/data/47111/000004711113000007/,13
Hershey,HSY,2012Q1,2012-04-01,분기별 당기순이익(지배),재작성 반영,202651000,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/47111/000004711112000035/,194651000,https://www.sec.gov/Archives/edgar/data/47111/000004711112000035/,13
Hershey,HSY,2013Q1,2013-03-31,분기별 당기순이익(지배),재작성 반영,240806000,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/47111/000004711113000019/,243006000,https://www.sec.gov/Archives/edgar/data/47111/000004711113000019/,13
Hershey,HSY,2013Q4,2013-12-31,분기별 당기순이익(지배),재작성 반영,186275000,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/47111/000004711114000006/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711113000036/,184593000,https://www.sec.gov/Archives/edgar/data/47111/000004711114000006/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711113000036/,13
Hershey,HSY,2013Q4,2013-12-31,분기별 영업활동현금흐름,재작성 반영,564691000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000004711114000006/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711113000036/,567685000,https://www.sec.gov/Archives/edgar/data/47111/000004711116000095/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711113000036/,13
Hershey,HSY,2014Q4,2014-12-31,분기별 영업이익,재작성 반영,907497000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/47111/000004711115000010/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711115000070/,343547000,https://www.sec.gov/Archives/edgar/data/47111/000004711117000005/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711115000070/,13
Hershey,HSY,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,450788000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000004711115000010/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711114000042/,456944000,https://www.sec.gov/Archives/edgar/data/47111/000004711117000005/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711114000042/,13
Hershey,HSY,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,5629516000,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711115000010/,5622870000,https://www.sec.gov/Archives/edgar/data/47111/000004711116000095/,13
Hershey,HSY,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,4109986000,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711115000010/,4103340000,https://www.sec.gov/Archives/edgar/data/47111/000004711116000095/,13
Hershey,HSY,2015Q1,2015-04-05,분기별 영업이익,재작성 반영,532546000,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711115000029/,384166000,https://www.sec.gov/Archives/edgar/data/47111/000004711116000103/,13
Hershey,HSY,2015Q1,2015-04-05,분기별 영업활동현금흐름,재작성 반영,256402000,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711115000029/,259233000,https://www.sec.gov/Archives/edgar/data/47111/000004711116000103/,13
Hershey,HSY,2015Q2,2015-07-05,분기별 영업활동현금흐름,재작성 반영,224546000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000004711115000056/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711115000029/,227082000,https://www.sec.gov/Archives/edgar/data/47111/000004711116000126/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711116000103/,13
Hershey,HSY,2015Q3,2015-10-04,분기별 당기순이익(지배),재작성 반영,154771000,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711115000070/,140266000,https://www.sec.gov/Archives/edgar/data/47111/000004711117000005/,13
Hershey,HSY,2015Q3,2015-10-04,분기별 영업활동현금흐름,재작성 반영,106916000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000004711115000070/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711115000056/,108770000,https://www.sec.gov/Archives/edgar/data/47111/000004711116000136/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711116000126/,13
Hershey,HSY,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,626592000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000004711116000095/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711115000070/,661226000,https://www.sec.gov/Archives/edgar/data/47111/000004711118000011/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711116000136/,13
Hershey,HSY,2016Q1,2016-04-03,분기별 영업활동현금흐름,재작성 반영,257115000,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711116000103/,269469000,https://www.sec.gov/Archives/edgar/data/47111/000004711117000022/,13
Hershey,HSY,2016Q2,2016-07-03,분기별 영업활동현금흐름,재작성 반영,89983000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000004711116000126/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711116000103/,99241000,https://www.sec.gov/Archives/edgar/data/47111/000004711117000035/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711117000022/,13
