기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Hershey,HSY,2010Q1,2010-04-04,분기별 매출액,1407843000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,,13
Hershey,HSY,2010Q1,2010-04-04,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,,13
Hershey,HSY,2010Q1,2010-04-04,분기별 당기순이익(지배),147394000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,,13
Hershey,HSY,2010Q1,2010-04-04,분기별 영업활동현금흐름,181186000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,,13
Hershey,HSY,2010Q1,2010-04-04,분기말 자산총계,3698687000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,,13
Hershey,HSY,2010Q1,2010-04-04,분기말 부채총계,2909622000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,,13
Hershey,HSY,2010Q1,2010-04-04,분기말 총자본(자기자본),789065000,USD,계산(지배+비지배),https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,지배 752217000 + 비지배 36848000,13
Hershey,HSY,2010Q1,2010-04-04,분기말 지배지분 자본,752217000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,,13
Hershey,HSY,2010Q1,2010-04-01,분기말 종가,43.06,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HSY?interval=1d&events=splits (2010-04-01),,13
Hershey,HSY,2010Q1,2010-04-04,분기말 상장주식수,227202637,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,dei:EntityCommonStockSharesOutstanding 클래스 합,13
Hershey,HSY,2010Q1,2010-04-01,분기말 시가총액,9783345549,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/HSY?interval=1d&events=splits (2010-04-01) ; https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,종가 43.06 × 주식수 227202637,13
Hershey,HSY,2010Q2,2010-07-04,분기별 매출액,1233242000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,,13
Hershey,HSY,2010Q2,2010-07-04,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,,13
Hershey,HSY,2010Q2,2010-07-04,분기별 당기순이익(지배),46723000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,,13
Hershey,HSY,2010Q2,2010-07-04,분기별 영업활동현금흐름,83662000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711110000018/,누적 264848000 − 직전누적 181186000 (시작 2010-01-01),13
Hershey,HSY,2010Q2,2010-07-04,분기말 자산총계,3619987000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,,13
Hershey,HSY,2010Q2,2010-07-04,분기말 부채총계,2887485000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,,13
Hershey,HSY,2010Q2,2010-07-04,분기말 총자본(자기자본),732502000,USD,계산(지배+비지배),https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,지배 697368000 + 비지배 35134000,13
Hershey,HSY,2010Q2,2010-07-04,분기말 지배지분 자본,697368000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,,13
Hershey,HSY,2010Q2,2010-07-02,분기말 종가,48.21,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HSY?interval=1d&events=splits (2010-07-02),,13
Hershey,HSY,2010Q2,2010-07-04,분기말 상장주식수,227048234,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,dei:EntityCommonStockSharesOutstanding 클래스 합,13
Hershey,HSY,2010Q2,2010-07-02,분기말 시가총액,10945995361,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/HSY?interval=1d&events=splits (2010-07-02) ; https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,종가 48.21 × 주식수 227048234,13
Hershey,HSY,2010Q3,2010-10-03,분기별 매출액,1547115000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,,13
Hershey,HSY,2010Q3,2010-10-03,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,,13
Hershey,HSY,2010Q3,2010-10-03,분기별 당기순이익(지배),180169000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,,13
Hershey,HSY,2010Q3,2010-10-03,분기별 영업활동현금흐름,123351000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711110000031/,누적 388199000 − 직전누적 264848000 (시작 2010-01-01),13
Hershey,HSY,2010Q3,2010-10-03,분기말 자산총계,3886943000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,,13
Hershey,HSY,2010Q3,2010-10-03,분기말 부채총계,3024006000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,,13
Hershey,HSY,2010Q3,2010-10-03,분기말 총자본(자기자본),862937000,USD,계산(지배+비지배),https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,지배 826749000 + 비지배 36188000,13
Hershey,HSY,2010Q3,2010-10-03,분기말 지배지분 자본,826749000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,,13
Hershey,HSY,2010Q3,2010-10-01,분기말 종가,47.79,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HSY?interval=1d&events=splits (2010-10-01),,13
Hershey,HSY,2010Q3,2010-10-03,분기말 상장주식수,227295729,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,dei:EntityCommonStockSharesOutstanding 클래스 합,13
Hershey,HSY,2010Q3,2010-10-01,분기말 시가총액,10862462889,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/HSY?interval=1d&events=splits (2010-10-01) ; https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,종가 47.79 × 주식수 227295729,13
Hershey,HSY,2010Q4,2010-12-31,분기별 매출액,1482809000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,연간 5671009000 − 9개월누적 4188200000 (SalesRevenueNet),13
Hershey,HSY,2010Q4,2010-12-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/,,13
Hershey,HSY,2010Q4,2010-12-31,분기별 당기순이익(지배),135513000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,연간 509799000 − 9개월누적 374286000 (NetIncomeLoss),13
Hershey,HSY,2010Q4,2010-12-31,분기별 영업활동현금흐름,513224000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/ ; https://www.sec.gov/Archives/edgar/data/47111/000004711110000052/,누적 901423000 − 직전누적 388199000 (시작 2010-01-01),13
Hershey,HSY,2010Q4,2010-12-31,분기말 자산총계,4272732000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/,,13
Hershey,HSY,2010Q4,2010-12-31,분기말 부채총계,3335131000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/,,13
Hershey,HSY,2010Q4,2010-12-31,분기말 총자본(자기자본),937601000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/,,13
Hershey,HSY,2010Q4,2010-12-31,분기말 지배지분 자본,902316000,USD,공시,https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/,,13
