기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
IDEX,IEX,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),2887577000,공시,https://www.sec.gov/Archives/edgar/data/832101/000144530514000435/,,https://www.sec.gov/Archives/edgar/data/832101/000144530514000435/,23
IDEX,IEX,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1314588000,공시,https://www.sec.gov/Archives/edgar/data/832101/000144530514000435/,,https://www.sec.gov/Archives/edgar/data/832101/000144530514000435/,23
IDEX,IEX,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1572989000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/832101/000144530514000435/,,https://www.sec.gov/Archives/edgar/data/832101/000144530514000435/,23
IDEX,IEX,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,2908070000,공시,https://www.sec.gov/Archives/edgar/data/832101/000083210115000009/,2903463000,https://www.sec.gov/Archives/edgar/data/832101/000083210117000016/,23
IDEX,IEX,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,1421619000,공시,https://www.sec.gov/Archives/edgar/data/832101/000083210115000009/,1417012000,https://www.sec.gov/Archives/edgar/data/832101/000083210116000057/,23
IDEX,IEX,2015Q4,2015-12-31,분기별 영업이익,재작성 반영,98259000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/832101/000083210116000057/ ; https://www.sec.gov/Archives/edgar/data/832101/000083210115000039/,103511000,https://www.sec.gov/Archives/edgar/data/832101/000083210118000019/ ; https://www.sec.gov/Archives/edgar/data/832101/000083210115000039/,23
IDEX,IEX,2016Q1,2016-03-31,분기별 영업이익,재작성 반영,102557000,공시,https://www.sec.gov/Archives/edgar/data/832101/000083210116000067/,103345000,https://www.sec.gov/Archives/edgar/data/832101/000083210118000019/,23
IDEX,IEX,2016Q2,2016-06-30,분기별 영업이익,재작성 반영,112976000,공시,https://www.sec.gov/Archives/edgar/data/832101/000083210116000085/,113823000,https://www.sec.gov/Archives/edgar/data/832101/000083210118000019/,23
IDEX,IEX,2016Q3,2016-09-30,분기별 영업이익,재작성 반영,108857000,공시,https://www.sec.gov/Archives/edgar/data/832101/000083210116000093/,109708000,https://www.sec.gov/Archives/edgar/data/832101/000083210118000019/,23
IDEX,IEX,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,81411000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/832101/000083210117000016/ ; https://www.sec.gov/Archives/edgar/data/832101/000083210116000093/,88007000,https://www.sec.gov/Archives/edgar/data/832101/000083210119000005/ ; https://www.sec.gov/Archives/edgar/data/832101/000083210116000093/,23
