기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
IDEX,IEX,2010Q1,2010-03-31,분기별 매출액,355598000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,23
IDEX,IEX,2010Q1,2010-03-31,분기별 영업이익,57893000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,23
IDEX,IEX,2010Q1,2010-03-31,분기별 당기순이익(지배),36625000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,23
IDEX,IEX,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/832101/000095012310044480/,,23
IDEX,IEX,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/832101/000095012310044480/,,23
IDEX,IEX,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/832101/000095012310044480/,,23
IDEX,IEX,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/832101/000095012310044480/,,23
IDEX,IEX,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/832101/000095012310044480/,,23
IDEX,IEX,2010Q1,2010-03-31,분기말 종가,33.1,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2010-03-31),,23
IDEX,IEX,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,23
IDEX,IEX,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,23
IDEX,IEX,2010Q2,2010-06-30,분기별 매출액,378526000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,,23
IDEX,IEX,2010Q2,2010-06-30,분기별 영업이익,62780000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,,23
IDEX,IEX,2010Q2,2010-06-30,분기별 당기순이익(지배),40398000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,,23
IDEX,IEX,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,,23
IDEX,IEX,2010Q2,2010-06-30,분기말 자산총계,2211527000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,,23
IDEX,IEX,2010Q2,2010-06-30,분기말 부채총계,939392000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,,23
IDEX,IEX,2010Q2,2010-06-30,분기말 총자본(자기자본),1272135000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,"StockholdersEquity, MinorityInterest 태그 없음",23
IDEX,IEX,2010Q2,2010-06-30,분기말 지배지분 자본,1272135000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,,23
IDEX,IEX,2010Q2,2010-06-30,분기말 종가,28.57,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2010-06-30),,23
IDEX,IEX,2010Q2,2010-07-31,분기말 상장주식수,81463661,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,dei:EntityCommonStockSharesOutstanding 클래스 합,23
IDEX,IEX,2010Q2,2010-06-30,분기말 시가총액,2327416795,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,종가 28.57 × 주식수 81463661,23
IDEX,IEX,2010Q3,2010-09-30,분기별 매출액,373731000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,,23
IDEX,IEX,2010Q3,2010-09-30,분기별 영업이익,62439000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,,23
IDEX,IEX,2010Q3,2010-09-30,분기별 당기순이익(지배),38564000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,,23
IDEX,IEX,2010Q3,2010-09-30,분기별 영업활동현금흐름,61641000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/ ; https://www.sec.gov/Archives/edgar/data/832101/000095012310074296/,누적 157346000 − 직전누적 95705000 (시작 2010-01-01),23
IDEX,IEX,2010Q3,2010-09-30,분기말 자산총계,2346461000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,,23
IDEX,IEX,2010Q3,2010-09-30,분기말 부채총계,1010703000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,,23
IDEX,IEX,2010Q3,2010-09-30,분기말 총자본(자기자본),1335758000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,"StockholdersEquity, MinorityInterest 태그 없음",23
IDEX,IEX,2010Q3,2010-09-30,분기말 지배지분 자본,1335758000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,,23
IDEX,IEX,2010Q3,2010-09-30,분기말 종가,35.51,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2010-09-30),,23
IDEX,IEX,2010Q3,2010-10-30,분기말 상장주식수,81885485,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,dei:EntityCommonStockSharesOutstanding 클래스 합,23
IDEX,IEX,2010Q3,2010-09-30,분기말 시가총액,2907753572,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,종가 35.51 × 주식수 81885485,23
IDEX,IEX,2010Q4,2010-12-31,분기별 매출액,405218000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/ ; https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,연간 1513073000 − 9개월누적 1107855000 (SalesRevenueNet),23
IDEX,IEX,2010Q4,2010-12-31,분기별 영업이익,66004000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/ ; https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,연간 249116000 − 9개월누적 183112000 (OperatingIncomeLoss),23
IDEX,IEX,2010Q4,2010-12-31,분기별 당기순이익(지배),41513000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/ ; https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,연간 157100000 − 9개월누적 115587000 (NetIncomeLoss),23
IDEX,IEX,2010Q4,2010-12-31,분기별 영업활동현금흐름,27131000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/ ; https://www.sec.gov/Archives/edgar/data/832101/000095012310100265/,누적 184477000 − 직전누적 157346000 (시작 2010-01-01),23
IDEX,IEX,2010Q4,2010-12-31,분기말 자산총계,2381695000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/,,23
IDEX,IEX,2010Q4,2010-12-31,분기말 부채총계,1006035000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/,,23
IDEX,IEX,2010Q4,2010-12-31,분기말 총자본(자기자본),1375660000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/,"StockholdersEquity, MinorityInterest 태그 없음",23
IDEX,IEX,2010Q4,2010-12-31,분기말 지배지분 자본,1375660000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/,,23
IDEX,IEX,2010Q4,2010-12-31,분기말 종가,39.12,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2010-12-31),,23
IDEX,IEX,2010Q4,2011-02-17,분기말 상장주식수,82441446,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/,dei:EntityCommonStockSharesOutstanding 클래스 합,23
IDEX,IEX,2010Q4,2010-12-31,분기말 시가총액,3225109368,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/832101/000095012311018609/,종가 39.12 × 주식수 82441446,23
IDEX,IEX,2011Q1,2011-03-31,분기별 매출액,427089000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,,23
IDEX,IEX,2011Q1,2011-03-31,분기별 영업이익,77721000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,,23
IDEX,IEX,2011Q1,2011-03-31,분기별 당기순이익(지배),47951000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,,23
IDEX,IEX,2011Q1,2011-03-31,분기별 영업활동현금흐름,29127000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,,23
IDEX,IEX,2011Q1,2011-03-31,분기말 자산총계,2465428000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,,23
IDEX,IEX,2011Q1,2011-03-31,분기말 부채총계,992442000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,,23
IDEX,IEX,2011Q1,2011-03-31,분기말 총자본(자기자본),1472986000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,"StockholdersEquity, MinorityInterest 태그 없음",23
IDEX,IEX,2011Q1,2011-03-31,분기말 지배지분 자본,1472986000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,,23
IDEX,IEX,2011Q1,2011-03-31,분기말 종가,43.65,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2011-03-31),,23
IDEX,IEX,2011Q1,2011-04-28,분기말 상장주식수,82881231,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,dei:EntityCommonStockSharesOutstanding 클래스 합,23
IDEX,IEX,2011Q1,2011-03-31,분기말 시가총액,3617765733,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,종가 43.65 × 주식수 82881231,23
IDEX,IEX,2011Q2,2011-06-30,분기별 매출액,453798000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,,23
IDEX,IEX,2011Q2,2011-06-30,분기별 영업이익,79629000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,,23
IDEX,IEX,2011Q2,2011-06-30,분기별 당기순이익(지배),50182000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,,23
IDEX,IEX,2011Q2,2011-06-30,분기별 영업활동현금흐름,51711000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/ ; https://www.sec.gov/Archives/edgar/data/832101/000095012311043713/,누적 80838000 − 직전누적 29127000 (시작 2011-01-01),23
IDEX,IEX,2011Q2,2011-06-30,분기말 자산총계,2923320000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,,23
IDEX,IEX,2011Q2,2011-06-30,분기말 부채총계,1411670000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,,23
IDEX,IEX,2011Q2,2011-06-30,분기말 총자본(자기자본),1511650000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,"StockholdersEquity, MinorityInterest 태그 없음",23
IDEX,IEX,2011Q2,2011-06-30,분기말 지배지분 자본,1511650000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,,23
IDEX,IEX,2011Q2,2011-06-30,분기말 종가,45.85,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2011-06-30),,23
IDEX,IEX,2011Q2,2011-07-31,분기말 상장주식수,83079161,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,dei:EntityCommonStockSharesOutstanding 클래스 합,23
IDEX,IEX,2011Q2,2011-06-30,분기말 시가총액,3809179532,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2011-06-30) ; https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,종가 45.85 × 주식수 83079161,23
IDEX,IEX,2011Q3,2011-09-30,분기별 매출액,476881000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,,23
IDEX,IEX,2011Q3,2011-09-30,분기별 영업이익,71305000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,,23
IDEX,IEX,2011Q3,2011-09-30,분기별 당기순이익(지배),48336000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,,23
IDEX,IEX,2011Q3,2011-09-30,분기별 영업활동현금흐름,94771000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/ ; https://www.sec.gov/Archives/edgar/data/832101/000095012311074497/,누적 175609000 − 직전누적 80838000 (시작 2011-01-01),23
IDEX,IEX,2011Q3,2011-09-30,분기말 자산총계,2893728000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,,23
IDEX,IEX,2011Q3,2011-09-30,분기말 부채총계,1388307000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,,23
IDEX,IEX,2011Q3,2011-09-30,분기말 총자본(자기자본),1505421000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,"StockholdersEquity, MinorityInterest 태그 없음",23
IDEX,IEX,2011Q3,2011-09-30,분기말 지배지분 자본,1505421000,USD,공시,https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,,23
IDEX,IEX,2011Q3,2011-09-30,분기말 종가,31.16,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2011-09-30),,23
IDEX,IEX,2011Q3,2011-10-26,분기말 상장주식수,83439010,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,dei:EntityCommonStockSharesOutstanding 클래스 합,23
IDEX,IEX,2011Q3,2011-09-30,분기말 시가총액,2599959552,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/IEX?interval=1d&events=splits (2011-09-30) ; https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,종가 31.16 × 주식수 83439010,23
IDEX,IEX,2011Q4,2011-12-31,분기별 매출액,480683000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/832101/000119312512078246/ ; https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,연간 1838451000 − 9개월누적 1357768000 (Revenues / 9개월 SalesRevenueNet),23
IDEX,IEX,2011Q4,2011-12-31,분기별 영업이익,76001000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/832101/000119312512078246/ ; https://www.sec.gov/Archives/edgar/data/832101/000119312511288786/,연간 304656000 − 9개월누적 228655000 (OperatingIncomeLoss),23
