기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
International Flavors & Fragrances,IFF,2012Q3,2012-09-30,분기별 영업활동현금흐름,재작성 반영,7539000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/51253/000119312512453233/ ; https://www.sec.gov/Archives/edgar/data/51253/000119312512342596/,2212000,https://www.sec.gov/Archives/edgar/data/51253/000005125313000003/ ; https://www.sec.gov/Archives/edgar/data/51253/000119312512342596/,16
International Flavors & Fragrances,IFF,2012Q4,2012-12-31,분기별 영업활동현금흐름,재작성 반영,180891000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/51253/000119312513077028/ ; https://www.sec.gov/Archives/edgar/data/51253/000119312512453233/,186218000,https://www.sec.gov/Archives/edgar/data/51253/000119312513077028/ ; https://www.sec.gov/Archives/edgar/data/51253/000005125313000003/,16
International Flavors & Fragrances,IFF,2012Q4,2012-12-31,분기말 자산총계,재작성 반영,3249600000,공시,https://www.sec.gov/Archives/edgar/data/51253/000119312513077028/,3246192000,https://www.sec.gov/Archives/edgar/data/51253/000005125314000004/,16
International Flavors & Fragrances,IFF,2012Q4,2012-12-31,분기말 부채총계,재작성 반영,1997045000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/51253/000119312513077028/,1993637000,https://www.sec.gov/Archives/edgar/data/51253/000005125314000004/,16
International Flavors & Fragrances,IFF,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,138883000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/51253/000005125316000026/ ; https://www.sec.gov/Archives/edgar/data/51253/000005125315000022/,172620000,https://www.sec.gov/Archives/edgar/data/51253/000005125318000005/ ; https://www.sec.gov/Archives/edgar/data/51253/000005125315000022/,16
International Flavors & Fragrances,IFF,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,3721454000,공시,https://www.sec.gov/Archives/edgar/data/51253/000005125316000026/,3702010000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000004/,16
International Flavors & Fragrances,IFF,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,2126464000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/51253/000005125316000026/,2107021000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000004/,16
International Flavors & Fragrances,IFF,2015Q4,2015-12-31,분기말 총자본(자기자본),재작성 반영,1594990000,공시,https://www.sec.gov/Archives/edgar/data/51253/000005125316000026/,1594989000,https://www.sec.gov/Archives/edgar/data/51253/000005125319000004/,16
International Flavors & Fragrances,IFF,2015Q4,2015-12-31,분기말 지배지분 자본,재작성 반영,1590318000,공시,https://www.sec.gov/Archives/edgar/data/51253/000005125316000026/,1590317000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000004/,16
International Flavors & Fragrances,IFF,2016Q1,2016-03-31,분기별 영업이익,재작성 반영,167220000,공시,https://www.sec.gov/Archives/edgar/data/51253/000005125316000035/,169933000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000007/,16
International Flavors & Fragrances,IFF,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,31615000,공시,https://www.sec.gov/Archives/edgar/data/51253/000005125316000035/,39943000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000007/,16
International Flavors & Fragrances,IFF,2016Q2,2016-06-30,분기별 영업이익,재작성 반영,164475000,공시,https://www.sec.gov/Archives/edgar/data/51253/000005125316000042/,164672000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000012/,16
International Flavors & Fragrances,IFF,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,122935000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/51253/000005125316000042/ ; https://www.sec.gov/Archives/edgar/data/51253/000005125316000035/,132353000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000012/ ; https://www.sec.gov/Archives/edgar/data/51253/000005125317000007/,16
International Flavors & Fragrances,IFF,2016Q3,2016-09-30,분기별 영업이익,재작성 반영,124339000,공시,https://www.sec.gov/Archives/edgar/data/51253/000005125316000045/,124426000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000015/,16
International Flavors & Fragrances,IFF,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,174803000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/51253/000005125316000045/ ; https://www.sec.gov/Archives/edgar/data/51253/000005125316000042/,169541000,https://www.sec.gov/Archives/edgar/data/51253/000005125317000015/ ; https://www.sec.gov/Archives/edgar/data/51253/000005125317000012/,16
