기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Intuit,INTU,2010Q1,2010-04-30,분기별 매출액,재분류(미반영),1607000000,공시,https://www.sec.gov/Archives/edgar/data/896878/000095012310054230/,1827000000,https://www.sec.gov/Archives/edgar/data/896878/000089687812000146/,7
Intuit,INTU,2010Q1,2010-04-30,분기별 영업이익,재분류(미반영),888000000,공시,https://www.sec.gov/Archives/edgar/data/896878/000095012310054230/,1067000000,https://www.sec.gov/Archives/edgar/data/896878/000089687812000146/,7
Intuit,INTU,2010Q1,2010-04-30,분기별 당기순이익(지배),재분류(미반영),576000000,공시,https://www.sec.gov/Archives/edgar/data/896878/000095012310054230/,688000000,https://www.sec.gov/Archives/edgar/data/896878/000089687812000146/,7
Intuit,INTU,2010Q2,2010-07-31,분기별 매출액,재분류(미반영),537000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/896878/000095012310086635/ ; https://www.sec.gov/Archives/edgar/data/896878/000095012310054230/,485000000,https://www.sec.gov/Archives/edgar/data/896878/000089687812000146/ ; https://www.sec.gov/Archives/edgar/data/896878/000095012310054230/,7
Intuit,INTU,2010Q2,2010-07-31,분기별 영업이익,재분류(미반영),-64000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/896878/000095012310086635/ ; https://www.sec.gov/Archives/edgar/data/896878/000095012310054230/,-23000000,https://www.sec.gov/Archives/edgar/data/896878/000089687812000146/ ; https://www.sec.gov/Archives/edgar/data/896878/000095012310054230/,7
Intuit,INTU,2010Q3,2010-10-31,분기별 매출액,재분류(미반영),532000000,공시,https://www.sec.gov/Archives/edgar/data/896878/000095012310111135/,491000000,https://www.sec.gov/Archives/edgar/data/896878/000089687813000149/,7
Intuit,INTU,2010Q3,2010-10-31,분기별 영업이익,재분류(미반영),-104000000,공시,https://www.sec.gov/Archives/edgar/data/896878/000095012310111135/,-80000000,https://www.sec.gov/Archives/edgar/data/896878/000089687813000149/,7
Intuit,INTU,2010Q3,2010-10-31,분기별 당기순이익(지배),재분류(미반영),-70000000,공시,https://www.sec.gov/Archives/edgar/data/896878/000095012310111135/,-64000000,https://www.sec.gov/Archives/edgar/data/896878/000089687813000149/,7
Intuit,INTU,2010Q4,2011-01-31,분기별 매출액,재분류(미반영),878000000,공시,https://www.sec.gov/Archives/edgar/data/896878/000095012311020460/,911000000,https://www.sec.gov/Archives/edgar/data/896878/000089687813000149/,7
Intuit,INTU,2010Q4,2011-01-31,분기별 영업이익,재분류(미반영),111000000,공시,https://www.sec.gov/Archives/edgar/data/896878/000095012311020460/,193000000,https://www.sec.gov/Archives/edgar/data/896878/000089687813000149/,7
