기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
International Paper,IP,2010Q1,2010-03-31,분기별 매출액,5807000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,,20
International Paper,IP,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/51434/000119312510149383/,,20
International Paper,IP,2010Q1,2010-03-31,분기별 당기순이익(지배),-162000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,,20
International Paper,IP,2010Q1,2010-03-31,분기별 영업활동현금흐름,159000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,,20
International Paper,IP,2010Q1,2010-03-31,분기말 자산총계,25142000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,,20
International Paper,IP,2010Q1,2010-03-31,분기말 부채총계,19090000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,부채및자본 25142000000 − 총자본 6052000000,20
International Paper,IP,2010Q1,2010-03-31,분기말 총자본(자기자본),6052000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,,20
International Paper,IP,2010Q1,2010-03-31,분기말 지배지분 자본,5819000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,,20
International Paper,IP,2010Q1,2010-03-31,분기말 종가,24.61,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/IP?interval=1d&events=splits (2010-03-31),분할조정 종가 22.9832 × 이후 분할계수 1.07078,20
International Paper,IP,2010Q1,2010-05-04,분기말 상장주식수,436593816,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,dei:EntityCommonStockSharesOutstanding 클래스 합,20
International Paper,IP,2010Q1,2010-03-31,분기말 시가총액,10744573812,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/IP?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,종가 24.61 × 주식수 436593816,20
International Paper,IP,2010Q2,2010-06-30,분기별 매출액,6121000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510180866/,,20
International Paper,IP,2010Q2,2010-06-30,분기별 영업이익,353000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/51434/000119312511215656/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-09 제출본의 비교기간에서 읽었다,20
International Paper,IP,2010Q2,2010-06-30,분기별 당기순이익(지배),93000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510180866/,,20
International Paper,IP,2010Q2,2010-06-30,분기별 영업활동현금흐름,641000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/51434/000119312510180866/ ; https://www.sec.gov/Archives/edgar/data/51434/000119312510112662/,누적 800000000 − 직전누적 159000000 (시작 2010-01-01),20
International Paper,IP,2010Q2,2010-06-30,분기말 자산총계,25047000000,USD,공시,https://www.sec.gov/Archives/edgar/data/51434/000119312510180866/,,20
International Paper,IP,2010Q2,2010-06-30,분기말 부채총계,19106000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/51434/000119312510180866/,부채및자본 25047000000 − 총자본 5941000000,20
