기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기별 매출액,3737601000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/49826/000004982611000030/,원 공시 3606389000 (https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/),8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기별 영업이익,541541000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/49826/000004982611000030/,원 공시 483930000 (https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/),8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기별 당기순이익(지배),333805000,USD,공시(비지배 없음)(재작성 반영),https://www.sec.gov/Archives/edgar/data/49826/000004982611000030/,원 공시 294331000 (https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/),8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기별 영업활동현금흐름,274820000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/49826/000004982611000030/,원 공시 279406000 (https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/),8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기말 자산총계,15866558000,USD,공시,https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/,,8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기말 부채총계,7123585000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/,부채및자본 15866558000 − 총자본 8742973000,8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기말 총자본(자기자본),8742973000,USD,공시,https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/,,8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기말 지배지분 자본,8733238000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/,총자본 8742973000 − 비지배 9735000,8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기말 종가,47.36,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ITW?interval=1d&events=splits (2010-03-31),,8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기말 상장주식수,502485456,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Illinois Tool Works,ITW,2010Q1,2010-03-31,분기말 시가총액,23797711196,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/ITW?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/49826/000004982610000017/,종가 47.36 × 주식수 502485456,8
Illinois Tool Works,ITW,2010Q2,2010-08-06,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/49826/000004982610000040/,,8
Illinois Tool Works,ITW,2010Q2,2010-08-06,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/49826/000004982610000040/,,8
Illinois Tool Works,ITW,2010Q2,2010-08-06,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/49826/000004982610000040/,,8
Illinois Tool Works,ITW,2010Q2,2010-08-06,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/49826/000004982610000040/,,8
Illinois Tool Works,ITW,2010Q2,2010-08-06,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/49826/000004982610000040/,,8
Illinois Tool Works,ITW,2010Q2,2010-08-06,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/49826/000004982610000040/,,8
Illinois Tool Works,ITW,2010Q2,2010-08-06,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/49826/000004982610000040/,,8
