기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Jacobs Solutions,J,2010Q2,2010-07-02,분기별 영업활동현금흐름,재작성 반영,119018000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,120043000,https://www.sec.gov/Archives/edgar/data/52988/000119312511202483/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,22
Jacobs Solutions,J,2010Q3,2010-10-01,분기별 영업활동현금흐름,재작성 반영,-39215000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,-13589000,https://www.sec.gov/Archives/edgar/data/52988/000005298812000086/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312511202483/,22
Jacobs Solutions,J,2010Q4,2010-12-31,분기별 영업활동현금흐름,재작성 반영,140273000,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312511014932/,145770000,https://www.sec.gov/Archives/edgar/data/52988/000005298812000005/,22
Jacobs Solutions,J,2011Q1,2011-04-01,분기별 영업활동현금흐름,재작성 반영,-63246000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/52988/000119312511118033/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312511014932/,-81973000,https://www.sec.gov/Archives/edgar/data/52988/000005298812000028/ ; https://www.sec.gov/Archives/edgar/data/52988/000005298812000005/,22
Jacobs Solutions,J,2011Q2,2011-07-01,분기별 영업활동현금흐름,재작성 반영,82916000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/52988/000119312511202483/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312511118033/,60392000,https://www.sec.gov/Archives/edgar/data/52988/000005298812000065/ ; https://www.sec.gov/Archives/edgar/data/52988/000005298812000028/,22
Jacobs Solutions,J,2011Q3,2011-09-30,분기별 영업활동현금흐름,재작성 반영,76547000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/52988/000119312511318681/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312511202483/,112301000,https://www.sec.gov/Archives/edgar/data/52988/000119312511318681/ ; https://www.sec.gov/Archives/edgar/data/52988/000005298812000065/,22
Jacobs Solutions,J,2011Q3,2011-09-30,분기말 자산총계,재작성 반영,6049428000,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312511318681/,6199226000,https://www.sec.gov/Archives/edgar/data/52988/000005298812000086/,22
Jacobs Solutions,J,2011Q3,2011-09-30,분기말 부채총계,재작성 반영,2726043000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/52988/000119312511318681/,2875841000,https://www.sec.gov/Archives/edgar/data/52988/000005298812000086/,22
Jacobs Solutions,J,2016Q4,2016-12-30,분기별 영업활동현금흐름,재작성 반영,105374000,공시,https://www.sec.gov/Archives/edgar/data/52988/000156459017001129/,110427000,https://www.sec.gov/Archives/edgar/data/52988/000156459018001463/,22
Jacobs Solutions,J,2017Q1,2017-03-31,분기별 영업활동현금흐름,재작성 반영,95675000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/52988/000156459017009666/ ; https://www.sec.gov/Archives/edgar/data/52988/000156459017001129/,90622000,https://www.sec.gov/Archives/edgar/data/52988/000156459017009666/ ; https://www.sec.gov/Archives/edgar/data/52988/000156459018001463/,22
Jacobs Solutions,J,2017Q3,2017-09-29,분기별 영업이익,재분류(미반영),106993000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/52988/000156459017024192/ ; https://www.sec.gov/Archives/edgar/data/52988/000156459017016325/,-41134000,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/ ; https://www.sec.gov/Archives/edgar/data/52988/000156459017016325/,22
Jacobs Solutions,J,2017Q4,2017-12-29,분기별 영업이익,재분류(미반영),47644000,공시,https://www.sec.gov/Archives/edgar/data/52988/000156459018001463/,-4670000,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/,22
Jacobs Solutions,J,2018Q1,2018-03-30,분기별 영업이익,재분류(미반영),146286000,공시,https://www.sec.gov/Archives/edgar/data/52988/000005298818000012/,68755000,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/,22
Jacobs Solutions,J,2018Q2,2018-06-29,분기별 매출액,재분류(미반영),4156663000,공시,https://www.sec.gov/Archives/edgar/data/52988/000005298818000023/,2933623000,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/,22
Jacobs Solutions,J,2018Q2,2018-06-29,분기별 영업이익,재분류(미반영),212729000,공시,https://www.sec.gov/Archives/edgar/data/52988/000005298818000023/,162512000,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/,22
Jacobs Solutions,J,2018Q3,2018-09-28,분기별 매출액,재분류(미반영),4142645000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/52988/000005298818000036/ ; https://www.sec.gov/Archives/edgar/data/52988/000005298818000023/,7396730000,https://www.sec.gov/Archives/edgar/data/52988/000005298818000036/ ; https://www.sec.gov/Archives/edgar/data/52988/000005298819000053/,22
