기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Jacobs Solutions,J,2010Q1,2010-04-02,분기별 매출액,2586974000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,,22
Jacobs Solutions,J,2010Q1,2010-04-02,분기별 영업이익,122004000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,,22
Jacobs Solutions,J,2010Q1,2010-04-02,분기별 당기순이익(지배),77500000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,,22
Jacobs Solutions,J,2010Q1,2010-04-02,분기별 영업활동현금흐름,-123202000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510015547/,누적 117167000 − 직전누적 240369000 (시작 2009-10-03),22
Jacobs Solutions,J,2010Q1,2010-04-02,분기말 자산총계,4650822000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,,22
Jacobs Solutions,J,2010Q1,2010-04-02,분기말 부채총계,1838535000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,부채및자본 4650822000 − 총자본 2812287000,22
Jacobs Solutions,J,2010Q1,2010-04-02,분기말 총자본(자기자본),2812287000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,,22
Jacobs Solutions,J,2010Q1,2010-04-02,분기말 지배지분 자본,2806694000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,,22
Jacobs Solutions,J,2010Q1,2010-04-01,분기말 종가,45.77,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/J?interval=1d&events=splits (2010-04-01),분할조정 종가 37.8587 × 이후 분할계수 1.20897,22
Jacobs Solutions,J,2010Q1,2010-04-22,분기말 상장주식수,125018964,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Jacobs Solutions,J,2010Q1,2010-04-01,분기말 시가총액,5722117982,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/J?interval=1d&events=splits (2010-04-01) ; https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,종가 45.77 × 주식수 125018964,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기별 매출액,2507725000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기별 영업이익,45083000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기별 당기순이익(지배),19043000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기별 영업활동현금흐름,120043000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/52988/000119312511202483/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/,누적 237210000 − 직전누적 117167000 (시작 2009-10-03) ; 원 공시 119018000 (https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510099363/),22
Jacobs Solutions,J,2010Q2,2010-07-02,분기말 자산총계,4660776000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기말 부채총계,1842984000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,부채및자본 4660776000 − 총자본 2817792000,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기말 총자본(자기자본),2817792000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기말 지배지분 자본,2812000000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기말 종가,35.43,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/J?interval=1d&events=splits (2010-07-02),분할조정 종가 29.3059 × 이후 분할계수 1.20897,22
Jacobs Solutions,J,2010Q2,2010-07-22,분기말 상장주식수,125731351,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Jacobs Solutions,J,2010Q2,2010-07-02,분기말 시가총액,4454661766,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/J?interval=1d&events=splits (2010-07-02) ; https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,종가 35.43 × 주식수 125731351,22
Jacobs Solutions,J,2010Q3,2010-10-01,분기별 매출액,2343033000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,연간 9915517000 − 9개월누적 7572484000 (Revenues),22
Jacobs Solutions,J,2010Q3,2010-10-01,분기별 영업이익,119515000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,연간 400083000 − 9개월누적 280568000 (OperatingIncomeLoss),22
Jacobs Solutions,J,2010Q3,2010-10-01,분기별 당기순이익(지배),76994000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/,연간 245974000 − 9개월누적 168980000 (NetIncomeLoss),22
Jacobs Solutions,J,2010Q3,2010-10-01,분기별 영업활동현금흐름,-13589000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/52988/000005298812000086/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312511202483/,누적 223621000 − 직전누적 237210000 (시작 2009-10-03) ; 원 공시 -39215000 (https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/ ; https://www.sec.gov/Archives/edgar/data/52988/000119312510172144/),22
Jacobs Solutions,J,2010Q3,2010-10-01,분기말 자산총계,4683917000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/,,22
Jacobs Solutions,J,2010Q3,2010-10-01,분기말 부채총계,1818989000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/,부채및자본 4683917000 − 총자본 2864928000,22
Jacobs Solutions,J,2010Q3,2010-10-01,분기말 총자본(자기자본),2864928000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/,,22
Jacobs Solutions,J,2010Q3,2010-10-01,분기말 지배지분 자본,2859048000,USD,공시,https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/,,22
Jacobs Solutions,J,2010Q3,2010-10-01,분기말 종가,39.01,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/J?interval=1d&events=splits (2010-10-01),분할조정 종가 32.2671 × 이후 분할계수 1.20897,22
