기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기별 매출액,844673000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/728535/000143774911002645/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기별 영업이익,67440000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/728535/000143774911002645/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기별 당기순이익(지배),37482000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/728535/000143774911002645/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/728535/000143774910001250/,,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/728535/000143774910001250/,,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/728535/000143774910001250/,,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/728535/000143774910001250/,,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/728535/000143774910001250/,,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기말 종가,35.88,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/JBHT?interval=1d&events=splits (2010-03-31),,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
J.B. Hunt Transport,JBHT,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기별 매출액,942776000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기별 영업이익,91347000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기별 당기순이익(지배),52113000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기말 자산총계,1900941000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기말 부채총계,1329882000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,부채및자본 1900941000 − 총자본 571059000,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기말 총자본(자기자본),571059000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,"StockholdersEquity, MinorityInterest 태그 없음",16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기말 지배지분 자본,571059000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기말 종가,32.67,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/JBHT?interval=1d&events=splits (2010-06-30),,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기말 상장주식수,123307759,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,dei:EntityCommonStockSharesOutstanding 클래스 합,16
J.B. Hunt Transport,JBHT,2010Q2,2010-06-30,분기말 시가총액,4028464487,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/JBHT?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,종가 32.67 × 주식수 123307759,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기별 매출액,986024000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기별 영업이익,91490000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기별 당기순이익(지배),52169000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기별 영업활동현금흐름,121407000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/ ; https://www.sec.gov/Archives/edgar/data/728535/000143774910002395/,누적 330237000 − 직전누적 208830000 (시작 2010-01-01),16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기말 자산총계,1956009000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기말 부채총계,1361551000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,부채및자본 1956009000 − 총자본 594458000,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기말 총자본(자기자본),594458000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,"StockholdersEquity, MinorityInterest 태그 없음",16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기말 지배지분 자본,594458000,USD,공시,https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기말 종가,34.7,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/JBHT?interval=1d&events=splits (2010-09-30),,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기말 상장주식수,123272249,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,dei:EntityCommonStockSharesOutstanding 클래스 합,16
J.B. Hunt Transport,JBHT,2010Q3,2010-09-30,분기말 시가총액,4277547040,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/JBHT?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,종가 34.7 × 주식수 123272249,16
J.B. Hunt Transport,JBHT,2010Q4,2010-12-31,분기별 매출액,1020012000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/728535/000143774911001088/ ; https://www.sec.gov/Archives/edgar/data/728535/000143774910003587/,연간 3793485000 − 9개월누적 2773473000 (Revenues),16
