기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Jabil,JBL,2012Q3,2012-08-31,분기별 매출액,재분류(미반영),4338080000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/898293/000119312512435503/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312512293558/,3326844000,https://www.sec.gov/Archives/edgar/data/898293/000119312514377410/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312512293558/,13
Jabil,JBL,2012Q3,2012-08-31,분기별 영업이익,재분류(미반영),144268000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/898293/000119312512435503/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312512293558/,71907000,https://www.sec.gov/Archives/edgar/data/898293/000119312514377410/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312512293558/,13
Jabil,JBL,2013Q1,2013-02-28,분기별 매출액,재분류(미반영),4417251000,공시,https://www.sec.gov/Archives/edgar/data/898293/000119312513144069/,4166355000,https://www.sec.gov/Archives/edgar/data/898293/000119312514133526/,13
Jabil,JBL,2013Q1,2013-02-28,분기별 영업이익,재분류(미반영),149041000,공시,https://www.sec.gov/Archives/edgar/data/898293/000119312513144069/,133041000,https://www.sec.gov/Archives/edgar/data/898293/000119312514133526/,13
Jabil,JBL,2013Q2,2013-05-31,분기별 매출액,재분류(미반영),4467767000,공시,https://www.sec.gov/Archives/edgar/data/898293/000119312513281174/,4196224000,https://www.sec.gov/Archives/edgar/data/898293/000119312514255736/,13
Jabil,JBL,2013Q2,2013-05-31,분기별 영업이익,재분류(미반영),103746000,공시,https://www.sec.gov/Archives/edgar/data/898293/000119312513281174/,93128000,https://www.sec.gov/Archives/edgar/data/898293/000119312514255736/,13
Jabil,JBL,2013Q3,2013-08-31,분기별 매출액,재분류(미반영),4814858000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/898293/000119312513413660/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312513281174/,4513694000,https://www.sec.gov/Archives/edgar/data/898293/000119312515345706/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312514255736/,13
Jabil,JBL,2013Q3,2013-08-31,분기별 영업이익,재분류(미반영),88370000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/898293/000119312513413660/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312513281174/,72560000,https://www.sec.gov/Archives/edgar/data/898293/000119312515345706/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312514255736/,13
Jabil,JBL,2013Q4,2013-11-30,분기별 매출액,재분류(미반영),4611442000,공시,https://www.sec.gov/Archives/edgar/data/898293/000119312514006645/,4342711000,https://www.sec.gov/Archives/edgar/data/898293/000119312515006471/,13
Jabil,JBL,2013Q4,2013-11-30,분기별 영업이익,재분류(미반영),172668000,공시,https://www.sec.gov/Archives/edgar/data/898293/000119312514006645/,155403000,https://www.sec.gov/Archives/edgar/data/898293/000119312515006471/,13
Jabil,JBL,2014Q3,2014-08-31,분기별 영업활동현금흐름,재분류(미반영),89469000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/898293/000119312514377410/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312514255736/,90251000,https://www.sec.gov/Archives/edgar/data/898293/000119312516742815/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312514255736/,13
Jabil,JBL,2015Q3,2015-08-31,분기별 영업활동현금흐름,재분류(미반영),357361000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/898293/000119312515345706/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312515230422/,357607000,https://www.sec.gov/Archives/edgar/data/898293/000119312517313834/ ; https://www.sec.gov/Archives/edgar/data/898293/000119312515230422/,13
Jabil,JBL,2015Q3,2015-08-31,분기말 자산총계,재작성 반영,9603207000,공시,https://www.sec.gov/Archives/edgar/data/898293/000119312515345706/,9591600000,https://www.sec.gov/Archives/edgar/data/898293/000119312516742815/,13
Jabil,JBL,2015Q3,2015-08-31,분기말 부채총계,재작성 반영,7268196000,공시,https://www.sec.gov/Archives/edgar/data/898293/000119312515345706/,7256589000,https://www.sec.gov/Archives/edgar/data/898293/000119312516742815/,13
