기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Johnson Controls,JCI,2010Q1,2010-03-26,분기별 매출액,4169000000,USD,공시,https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,,7
Johnson Controls,JCI,2010Q1,2010-03-26,분기별 영업이익,427000000,USD,공시,https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,,7
Johnson Controls,JCI,2010Q1,2010-03-26,분기별 당기순이익(지배),310000000,USD,공시,https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,,7
Johnson Controls,JCI,2010Q1,2010-03-26,분기별 영업활동현금흐름,632000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/ ; https://www.sec.gov/Archives/edgar/data/833444/000104746910000401/,누적 1011000000 − 직전누적 379000000 (시작 2009-09-26),7
Johnson Controls,JCI,2010Q1,2010-03-26,분기말 자산총계,25472000000,USD,공시,https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,,7
Johnson Controls,JCI,2010Q1,2010-03-26,분기말 부채총계,12549000000,USD,공시,https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,,7
Johnson Controls,JCI,2010Q1,2010-03-26,분기말 총자본(자기자본),12923000000,USD,공시,https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,,7
Johnson Controls,JCI,2010Q1,2010-03-26,분기말 지배지분 자본,12907000000,USD,공시,https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,,7
Johnson Controls,JCI,2010Q1,2010-03-26,분기말 종가,36.86,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/JCI?interval=1d&events=splits (2010-03-26),분할조정 종가 19.1865 × 이후 분할계수 1.92114,7
Johnson Controls,JCI,2010Q1,2010-04-21,분기말 상장주식수,475419817,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
Johnson Controls,JCI,2010Q1,2010-03-26,분기말 시가총액,17523974455,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/JCI?interval=1d&events=splits (2010-03-26) ; https://www.sec.gov/Archives/edgar/data/833444/000104746910004246/,종가 36.86 × 주식수 475419817,7
Johnson Controls,JCI,2010Q2,2010-06-25,분기별 매출액,4274000000,USD,공시,https://www.sec.gov/Archives/edgar/data/833444/000104746910006744/,,7
