기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Johnson & Johnson,JNJ,2012Q2,2012-07-01,분기별 영업활동현금흐름,재작성 반영,4728000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/200406/000020040612000119/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040612000081/,4245000000,https://www.sec.gov/Archives/edgar/data/200406/000020040613000091/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040612000081/,2
Johnson & Johnson,JNJ,2012Q3,2012-09-30,분기별 영업활동현금흐름,재작성 반영,4497000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/200406/000020040612000140/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040612000119/,4980000000,https://www.sec.gov/Archives/edgar/data/200406/000020040612000140/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040613000091/,2
Johnson & Johnson,JNJ,2014Q4,2014-12-28,분기별 영업활동현금흐름,재작성 반영,4365000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040614000097/,4604000000,https://www.sec.gov/Archives/edgar/data/200406/000020040617000006/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040614000097/,2
Johnson & Johnson,JNJ,2014Q4,2014-12-28,분기말 자산총계,재작성 반영,131119000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/,130358000000,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/,2
Johnson & Johnson,JNJ,2014Q4,2014-12-28,분기말 부채총계,재작성 반영,61367000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/,60606000000,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/,2
Johnson & Johnson,JNJ,2015Q2,2015-06-28,분기별 영업활동현금흐름,재작성 반영,5200000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/200406/000020040615000044/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040615000019/,5472000000,https://www.sec.gov/Archives/edgar/data/200406/000020040616000105/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040615000019/,2
Johnson & Johnson,JNJ,2015Q3,2015-09-27,분기별 영업활동현금흐름,재작성 반영,6125000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/200406/000020040615000060/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040615000044/,6140000000,https://www.sec.gov/Archives/edgar/data/200406/000020040616000112/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040616000105/,2
Johnson & Johnson,JNJ,2015Q4,2016-01-03,분기별 영업활동현금흐름,재작성 반영,5082000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040615000060/,5085000000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040616000112/,2
Johnson & Johnson,JNJ,2016Q1,2016-04-03,분기별 당기순이익(지배),재작성 반영,4292000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040616000084/,4457000000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/,2
Johnson & Johnson,JNJ,2016Q1,2016-04-03,분기별 영업활동현금흐름,재작성 반영,1763000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040616000084/,2189000000,https://www.sec.gov/Archives/edgar/data/200406/000020040617000024/,2
Johnson & Johnson,JNJ,2016Q2,2016-07-03,분기별 영업활동현금흐름,재작성 반영,4990000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/200406/000020040616000105/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040616000084/,4564000000,https://www.sec.gov/Archives/edgar/data/200406/000020040616000105/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040617000024/,2
Johnson & Johnson,JNJ,2021Q4,2022-01-02,분기별 매출액,재분류(미반영),24804000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040621000070/,9769000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040621000070/,2
Johnson & Johnson,JNJ,2022Q1,2022-04-03,분기별 매출액,재분류(미반영),23426000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040622000048/,19840000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/,2
Johnson & Johnson,JNJ,2022Q2,2022-07-03,분기별 매출액,재분류(미반영),24020000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040622000071/,20215000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/,2
Johnson & Johnson,JNJ,2022Q3,2022-10-02,분기별 매출액,재분류(미반영),23791000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040622000086/,19996000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/,2
Johnson & Johnson,JNJ,2022Q4,2023-01-01,분기별 매출액,재분류(미반영),23706000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040622000086/,19939000000,https://www.sec.gov/Archives/edgar/data/200406/000020040625000038/ ; https://www.sec.gov/Archives/edgar/data/200406/000020040623000102/,2
Johnson & Johnson,JNJ,2023Q1,2023-04-02,분기별 매출액,재분류(미반영),24746000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040623000056/,20894000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000049/,2
Johnson & Johnson,JNJ,2023Q2,2023-07-02,분기별 매출액,재분류(미반영),25530000000,공시,https://www.sec.gov/Archives/edgar/data/200406/000020040623000082/,21519000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000075/,2
