기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Keysight Technologies,KEYS,2014Q4,2015-01-31,분기별 영업이익,재작성 반영,81000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104615000007/,87000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104616000050/,10
Keysight Technologies,KEYS,2015Q1,2015-04-30,분기별 영업이익,재작성 반영,128000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104615000018/,133000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104616000065/,10
Keysight Technologies,KEYS,2016Q3,2016-10-31,분기말 자산총계,재작성 반영,3803000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104616000077/,3796000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104617000033/,10
Keysight Technologies,KEYS,2016Q3,2016-10-31,분기말 부채총계,재작성 반영,2290000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104616000077/,2283000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104617000033/,10
Keysight Technologies,KEYS,2016Q4,2017-01-31,분기별 영업활동현금흐름,재작성 반영,102000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104617000009/,115000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000008/,10
Keysight Technologies,KEYS,2017Q2,2017-07-31,분기별 영업활동현금흐름,재작성 반영,98000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1601046/000160104617000026/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104617000020/,101000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000024/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104618000017/,10
Keysight Technologies,KEYS,2017Q3,2017-10-31,분기별 영업이익,재작성 반영,39000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1601046/000160104617000033/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104617000026/,-52000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000110/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104617000026/,10
Keysight Technologies,KEYS,2017Q3,2017-10-31,분기별 영업활동현금흐름,재작성 반영,64000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1601046/000160104617000033/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104617000026/,63000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000110/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104618000024/,10
Keysight Technologies,KEYS,2017Q4,2018-01-31,분기별 매출액,재작성 반영,856000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000008/,837000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000010/,10
Keysight Technologies,KEYS,2017Q4,2018-01-31,분기별 영업이익,재작성 반영,-5000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000008/,-17000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000010/,10
Keysight Technologies,KEYS,2018Q1,2018-04-30,분기별 영업이익,재작성 반영,100000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000017/,86000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000025/,10
Keysight Technologies,KEYS,2018Q2,2018-07-31,분기별 매출액,재작성 반영,1008000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000024/,1004000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000038/,10
Keysight Technologies,KEYS,2018Q2,2018-07-31,분기별 영업이익,재작성 반영,128000000,공시,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000024/,117000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000038/,10
Keysight Technologies,KEYS,2018Q3,2018-10-31,분기별 매출액,재작성 반영,1015000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1601046/000160104618000030/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104618000024/,1047000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104618000030/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104619000038/,10
Keysight Technologies,KEYS,2018Q3,2018-10-31,분기별 영업이익,재작성 반영,-569000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1601046/000160104618000030/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104618000024/,-580000000,https://www.sec.gov/Archives/edgar/data/1601046/000160104620000154/ ; https://www.sec.gov/Archives/edgar/data/1601046/000160104619000038/,10
