기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
KLA,KLAC,2010Q1,2010-03-31,분기별 매출액,478299000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/319201/000144530511000754/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,4
KLA,KLAC,2010Q1,2010-03-31,분기별 영업이익,91279000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/319201/000144530511000754/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,4
KLA,KLAC,2010Q1,2010-03-31,분기별 당기순이익(지배),57016000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/319201/000144530511000754/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-29 제출본의 비교기간에서 읽었다,4
KLA,KLAC,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510099767/,,4
KLA,KLAC,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510099767/,,4
KLA,KLAC,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510099767/,,4
KLA,KLAC,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510099767/,,4
KLA,KLAC,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510099767/,,4
KLA,KLAC,2010Q1,2010-03-31,분기말 종가,30.93,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/KLAC?interval=1d&events=splits (2010-03-31),분할조정 종가 3.093 × 이후 분할계수 10,4
KLA,KLAC,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,4
KLA,KLAC,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,4
KLA,KLAC,2010Q2,2010-06-30,분기별 매출액,559419000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/319201/000144530511002394/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-08-05 제출본의 비교기간에서 읽었다,4
KLA,KLAC,2010Q2,2010-06-30,분기별 영업이익,160842000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/319201/000144530511002394/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-05 제출본의 비교기간에서 읽었다,4
KLA,KLAC,2010Q2,2010-06-30,분기별 당기순이익(지배),113085000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/319201/000144530511002394/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-05 제출본의 비교기간에서 읽었다,4
KLA,KLAC,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510179757/,,4
KLA,KLAC,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510179757/,,4
KLA,KLAC,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510179757/,,4
KLA,KLAC,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510179757/,,4
KLA,KLAC,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/319201/000119312510179757/,,4
KLA,KLAC,2010Q2,2010-06-30,분기말 종가,27.88,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/KLAC?interval=1d&events=splits (2010-06-30),분할조정 종가 2.788 × 이후 분할계수 10,4
KLA,KLAC,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,4
KLA,KLAC,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,4
KLA,KLAC,2010Q3,2010-09-30,분기별 매출액,682342000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,,4
KLA,KLAC,2010Q3,2010-09-30,분기별 영업이익,235616000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,,4
KLA,KLAC,2010Q3,2010-09-30,분기별 당기순이익(지배),154196000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,,4
KLA,KLAC,2010Q3,2010-09-30,분기별 영업활동현금흐름,95528000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,,4
KLA,KLAC,2010Q3,2010-09-30,분기말 자산총계,4002865000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,,4
KLA,KLAC,2010Q3,2010-09-30,분기말 부채총계,1661608000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,,4
KLA,KLAC,2010Q3,2010-09-30,분기말 총자본(자기자본),2341257000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,"StockholdersEquity, MinorityInterest 태그 없음",4
KLA,KLAC,2010Q3,2010-09-30,분기말 지배지분 자본,2341257000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,,4
KLA,KLAC,2010Q3,2010-09-30,분기말 종가,35.23,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/KLAC?interval=1d&events=splits (2010-09-30),분할조정 종가 3.523 × 이후 분할계수 10,4
KLA,KLAC,2010Q3,2010-10-13,분기말 상장주식수,167064459,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
KLA,KLAC,2010Q3,2010-09-30,분기말 시가총액,5885680891,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/KLAC?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,종가 35.23 × 주식수 167064459,4
KLA,KLAC,2010Q4,2010-12-31,분기별 매출액,766327000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,,4
KLA,KLAC,2010Q4,2010-12-31,분기별 영업이익,268866000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,,4
KLA,KLAC,2010Q4,2010-12-31,분기별 당기순이익(지배),185492000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,,4
KLA,KLAC,2010Q4,2010-12-31,분기별 영업활동현금흐름,193925000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/ ; https://www.sec.gov/Archives/edgar/data/319201/000119312510267778/,누적 289453000 − 직전누적 95528000 (시작 2010-07-01),4
KLA,KLAC,2010Q4,2010-12-31,분기말 자산총계,4168461000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,,4
KLA,KLAC,2010Q4,2010-12-31,분기말 부채총계,1702227000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,,4
KLA,KLAC,2010Q4,2010-12-31,분기말 총자본(자기자본),2466234000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,"StockholdersEquity, MinorityInterest 태그 없음",4
KLA,KLAC,2010Q4,2010-12-31,분기말 지배지분 자본,2466234000,USD,공시,https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,,4
KLA,KLAC,2010Q4,2010-12-31,분기말 종가,38.64,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/KLAC?interval=1d&events=splits (2010-12-31),분할조정 종가 3.864 × 이후 분할계수 10,4
KLA,KLAC,2010Q4,2011-01-13,분기말 상장주식수,167221198,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
KLA,KLAC,2010Q4,2010-12-31,분기말 시가총액,6461427091,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/KLAC?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/319201/000119312511016303/,종가 38.64 × 주식수 167221198,4
