기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Kimberly-Clark,KMB,2012Q4,2012-12-31,분기별 매출액,재분류(미반영),5307000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/55785/000005578513000011/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578512000090/,3711000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578512000090/,13
Kimberly-Clark,KMB,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),449000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/55785/000005578513000011/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578512000090/,140000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578512000090/,13
Kimberly-Clark,KMB,2013Q4,2013-12-31,분기별 매출액,재분류(미반영),5305000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/55785/000005578514000015/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578513000083/,3714000000,https://www.sec.gov/Archives/edgar/data/55785/000005578516000138/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578513000083/,13
Kimberly-Clark,KMB,2013Q4,2013-12-31,분기별 영업이익,재분류(미반영),822000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/55785/000005578514000015/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578513000083/,517000000,https://www.sec.gov/Archives/edgar/data/55785/000005578516000138/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578513000083/,13
Kimberly-Clark,KMB,2014Q1,2014-03-31,분기별 매출액,재분류(미반영),5278000000,공시,https://www.sec.gov/Archives/edgar/data/55785/000005578514000035/,4887000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000046/,13
Kimberly-Clark,KMB,2014Q1,2014-03-31,분기별 영업이익,재분류(미반영),797000000,공시,https://www.sec.gov/Archives/edgar/data/55785/000005578514000035/,711000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000046/,13
Kimberly-Clark,KMB,2014Q2,2014-06-30,분기별 매출액,재분류(미반영),5343000000,공시,https://www.sec.gov/Archives/edgar/data/55785/000005578514000065/,4953000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000094/,13
Kimberly-Clark,KMB,2014Q2,2014-06-30,분기별 영업이익,재분류(미반영),790000000,공시,https://www.sec.gov/Archives/edgar/data/55785/000005578514000065/,775000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000094/,13
Kimberly-Clark,KMB,2014Q3,2014-09-30,분기별 매출액,재분류(미반영),5442000000,공시,https://www.sec.gov/Archives/edgar/data/55785/000005578514000089/,5056000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000118/,13
Kimberly-Clark,KMB,2014Q3,2014-09-30,분기별 영업이익,재분류(미반영),907000000,공시,https://www.sec.gov/Archives/edgar/data/55785/000005578514000089/,877000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000118/,13
Kimberly-Clark,KMB,2014Q4,2014-12-31,분기별 매출액,재분류(미반영),3661000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578514000089/,4828000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578515000118/,13
Kimberly-Clark,KMB,2014Q4,2014-12-31,분기별 영업이익,재분류(미반영),27000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578514000089/,158000000,https://www.sec.gov/Archives/edgar/data/55785/000005578515000014/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578515000118/,13
Kimberly-Clark,KMB,2016Q4,2016-12-31,분기별 매출액,재작성 반영,4544000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/55785/000005578517000017/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578516000194/,4629000000,https://www.sec.gov/Archives/edgar/data/55785/000005578519000013/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578516000194/,13
Kimberly-Clark,KMB,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,839000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/55785/000005578517000017/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578516000194/,905000000,https://www.sec.gov/Archives/edgar/data/55785/000005578519000013/ ; https://www.sec.gov/Archives/edgar/data/55785/000005578516000194/,13
