기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Coca-Cola,KO,2010Q4,2010-12-31,분기별 영업이익,재작성 반영,1159000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/21344/000104746911001506/ ; https://www.sec.gov/Archives/edgar/data/21344/000104746910008993/,1123000000,https://www.sec.gov/Archives/edgar/data/21344/000002134413000007/ ; https://www.sec.gov/Archives/edgar/data/21344/000104746910008993/,3
Coca-Cola,KO,2010Q4,2010-12-31,분기별 당기순이익(지배),재작성 반영,5771000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/21344/000104746911001506/ ; https://www.sec.gov/Archives/edgar/data/21344/000104746910008993/,5749000000,https://www.sec.gov/Archives/edgar/data/21344/000002134413000007/ ; https://www.sec.gov/Archives/edgar/data/21344/000104746910008993/,3
Coca-Cola,KO,2011Q1,2011-04-01,분기별 영업이익,재작성 반영,2279000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746911004348/,2284000000,https://www.sec.gov/Archives/edgar/data/21344/000002134412000023/,3
Coca-Cola,KO,2011Q1,2011-04-01,분기별 당기순이익(지배),재작성 반영,1900000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746911004348/,1903000000,https://www.sec.gov/Archives/edgar/data/21344/000002134412000023/,3
Coca-Cola,KO,2011Q3,2011-09-30,분기별 영업이익,재분류(미반영),2750000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000002134411000011/,2754000000,https://www.sec.gov/Archives/edgar/data/21344/000002134412000051/,3
Coca-Cola,KO,2011Q3,2011-09-30,분기별 당기순이익(지배),재분류(미반영),2221000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000002134411000011/,2224000000,https://www.sec.gov/Archives/edgar/data/21344/000002134412000051/,3
Coca-Cola,KO,2011Q4,2011-12-31,분기별 영업이익,재작성 반영,1951000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/21344/000002134412000007/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134411000011/,1970000000,https://www.sec.gov/Archives/edgar/data/21344/000002134414000008/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134411000011/,3
Coca-Cola,KO,2011Q4,2011-12-31,분기별 당기순이익(지배),재작성 반영,1654000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/21344/000002134412000007/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134411000011/,1666000000,https://www.sec.gov/Archives/edgar/data/21344/000002134414000008/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134411000011/,3
Coca-Cola,KO,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,90093000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000002134416000050/,89996000000,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/,3
Coca-Cola,KO,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,64329000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/21344/000002134416000050/,64232000000,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/,3
Coca-Cola,KO,2016Q4,2016-12-31,분기별 영업이익,재분류(미반영),1355000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134416000076/,1386000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134416000076/,3
Coca-Cola,KO,2016Q4,2016-12-31,분기별 영업활동현금흐름,재분류(미반영),2073000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134416000076/,2069000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134416000076/,3
Coca-Cola,KO,2017Q1,2017-03-31,분기별 영업이익,재분류(미반영),1982000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000002134417000019/,1963000000,https://www.sec.gov/Archives/edgar/data/21344/000002134418000023/,3
Coca-Cola,KO,2017Q2,2017-06-30,분기별 영업이익,재분류(미반영),2078000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000002134417000026/,2037000000,https://www.sec.gov/Archives/edgar/data/21344/000002134418000032/,3
Coca-Cola,KO,2017Q3,2017-09-29,분기별 영업이익,재분류(미반영),2120000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000002134417000032/,2245000000,https://www.sec.gov/Archives/edgar/data/21344/000002134418000042/,3
Coca-Cola,KO,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,1321000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134417000032/,1575000000,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134417000032/,3
Coca-Cola,KO,2017Q4,2017-12-31,분기별 영업활동현금흐름,재작성 반영,1077000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134417000032/,1123000000,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/ ; https://www.sec.gov/Archives/edgar/data/21344/000002134417000032/,3
Coca-Cola,KO,2018Q2,2018-06-29,분기별 영업이익,재작성 반영,2727000000,공시,https://www.sec.gov/Archives/edgar/data/21344/000002134418000032/,2766000000,https://www.sec.gov/Archives/edgar/data/21344/000002134419000034/,3
