기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Coca-Cola,KO,2010Q1,2010-04-02,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,,3
Coca-Cola,KO,2010Q1,2010-04-02,분기별 영업이익,2183000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,,3
Coca-Cola,KO,2010Q1,2010-04-02,분기별 당기순이익(지배),1614000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,,3
Coca-Cola,KO,2010Q1,2010-04-02,분기별 영업활동현금흐름,1326000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,,3
Coca-Cola,KO,2010Q1,2010-04-02,분기말 자산총계,47403000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,,3
Coca-Cola,KO,2010Q1,2010-04-02,분기말 부채총계,22246000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,부채및자본 47403000000 − 총자본 25157000000,3
Coca-Cola,KO,2010Q1,2010-04-02,분기말 총자본(자기자본),25157000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,,3
Coca-Cola,KO,2010Q1,2010-04-02,분기말 지배지분 자본,24872000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,,3
Coca-Cola,KO,2010Q1,2010-04-01,분기말 종가,55.3,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/KO?interval=1d&events=splits (2010-04-01),분할조정 종가 27.65 × 이후 분할계수 2,3
Coca-Cola,KO,2010Q1,2010-04-26,분기말 상장주식수,2307050619,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Coca-Cola,KO,2010Q1,2010-04-01,분기말 시가총액,127579899231,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/KO?interval=1d&events=splits (2010-04-01) ; https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,종가 55.3 × 주식수 2307050619,3
Coca-Cola,KO,2010Q2,2010-07-02,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/21344/000104746910006835/,,3
Coca-Cola,KO,2010Q2,2010-07-02,분기별 영업이익,2763000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910006835/,,3
Coca-Cola,KO,2010Q2,2010-07-02,분기별 당기순이익(지배),2369000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910006835/,,3
Coca-Cola,KO,2010Q2,2010-07-02,분기별 영업활동현금흐름,2984000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/21344/000104746910006835/ ; https://www.sec.gov/Archives/edgar/data/21344/000104746910004416/,누적 4310000000 − 직전누적 1326000000 (시작 2010-01-01),3
Coca-Cola,KO,2010Q2,2010-07-02,분기말 자산총계,48444000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910006835/,,3
Coca-Cola,KO,2010Q2,2010-07-02,분기말 부채총계,22636000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/21344/000104746910006835/,부채및자본 48444000000 − 총자본 25808000000,3
Coca-Cola,KO,2010Q2,2010-07-02,분기말 총자본(자기자본),25808000000,USD,공시,https://www.sec.gov/Archives/edgar/data/21344/000104746910006835/,,3
