기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Kroger,KR,2012Q1,2012-05-19,분기별 영업활동현금흐름,재작성 반영,1304000000,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465912045745/,1299000000,https://www.sec.gov/Archives/edgar/data/56873/000110465913052257/,13
Kroger,KR,2012Q2,2012-08-11,분기별 영업활동현금흐름,재작성 반영,729000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/56873/000110465912063958/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465912045745/,732000000,https://www.sec.gov/Archives/edgar/data/56873/000110465913071849/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465913052257/,13
Kroger,KR,2012Q3,2012-11-03,분기별 영업활동현금흐름,재작성 반영,235000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/56873/000110465912083205/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465912063958/,237000000,https://www.sec.gov/Archives/edgar/data/56873/000110465912083205/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465913071849/,13
Kroger,KR,2012Q4,2013-02-02,분기별 영업활동현금흐름,재작성 반영,565000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/56873/000110465913026395/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465912083205/,686000000,https://www.sec.gov/Archives/edgar/data/56873/000110465915025139/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465912083205/,13
Kroger,KR,2012Q4,2013-02-02,분기말 자산총계,재작성 반영,24652000000,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465913026395/,24634000000,https://www.sec.gov/Archives/edgar/data/56873/000110465914024819/,13
Kroger,KR,2012Q4,2013-02-02,분기말 부채총계,재작성 반영,20438000000,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465913026395/,20420000000,https://www.sec.gov/Archives/edgar/data/56873/000110465914024819/,13
Kroger,KR,2013Q4,2014-02-01,분기별 영업활동현금흐름,재작성 반영,463000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/56873/000110465914024819/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465913090082/,656000000,https://www.sec.gov/Archives/edgar/data/56873/000110465916108277/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465913090082/,13
Kroger,KR,2014Q1,2014-05-24,분기별 영업활동현금흐름,재작성 반영,1780000000,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465914049599/,1751000000,https://www.sec.gov/Archives/edgar/data/56873/000110465915048764/,13
Kroger,KR,2014Q2,2014-08-16,분기별 영업활동현금흐름,재작성 반영,970000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/56873/000110465914067650/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465914049599/,841000000,https://www.sec.gov/Archives/edgar/data/56873/000110465915066444/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465915048764/,13
Kroger,KR,2014Q3,2014-11-08,분기별 영업활동현금흐름,재작성 반영,719000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/56873/000110465914086951/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465914067650/,792000000,https://www.sec.gov/Archives/edgar/data/56873/000110465915085378/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465915066444/,13
