기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Kroger,KR,2010Q1,2010-05-22,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,,13
Kroger,KR,2010Q1,2010-05-22,분기별 영업이익,723000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,,13
Kroger,KR,2010Q1,2010-05-22,분기별 당기순이익(지배),374000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,,13
Kroger,KR,2010Q1,2010-05-22,분기별 영업활동현금흐름,1553000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,,13
Kroger,KR,2010Q1,2010-05-22,분기말 자산총계,22881000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,,13
Kroger,KR,2010Q1,2010-05-22,분기말 부채총계,17775000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,,13
Kroger,KR,2010Q1,2010-05-22,분기말 총자본(자기자본),5106000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,,13
Kroger,KR,2010Q1,2010-05-22,분기말 지배지분 자본,5108000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,,13
Kroger,KR,2010Q1,2010-05-21,분기말 종가,21.26,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/KR?interval=1d&events=splits (2010-05-21),분할조정 종가 10.63 × 이후 분할계수 2,13
Kroger,KR,2010Q1,2010-06-25,분기말 상장주식수,642071330,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,dei:EntityCommonStockSharesOutstanding 클래스 합,13
Kroger,KR,2010Q1,2010-05-21,분기말 시가총액,13650436476,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/KR?interval=1d&events=splits (2010-05-21) ; https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,종가 21.26 × 주식수 642071330,13
Kroger,KR,2010Q2,2010-08-14,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/56873/000110465910049401/,,13
Kroger,KR,2010Q2,2010-08-14,분기별 영업이익,494000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910049401/,,13
Kroger,KR,2010Q2,2010-08-14,분기별 당기순이익(지배),262000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910049401/,,13
Kroger,KR,2010Q2,2010-08-14,분기별 영업활동현금흐름,766000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/56873/000110465910049401/ ; https://www.sec.gov/Archives/edgar/data/56873/000110465910035823/,누적 2319000000 − 직전누적 1553000000 (시작 2010-01-31),13
Kroger,KR,2010Q2,2010-08-14,분기말 자산총계,23276000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910049401/,,13
Kroger,KR,2010Q2,2010-08-14,분기말 부채총계,18109000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910049401/,,13
Kroger,KR,2010Q2,2010-08-14,분기말 총자본(자기자본),5167000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910049401/,,13
Kroger,KR,2010Q2,2010-08-14,분기말 지배지분 자본,5163000000,USD,공시,https://www.sec.gov/Archives/edgar/data/56873/000110465910049401/,,13
Kroger,KR,2010Q2,2010-08-13,분기말 종가,22.0,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/KR?interval=1d&events=splits (2010-08-13),분할조정 종가 11.0 × 이후 분할계수 2,13
