기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Labcorp Holdings,LH,2010Q1,2010-03-31,분기별 매출액,1193600000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기별 영업이익,234200000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기별 당기순이익(지배),132700000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기별 영업활동현금흐름,232000000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기말 자산총계,4934200000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기말 부채총계,2755600000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기말 총자본(자기자본),2178600000,USD,계산(지배+비지배),https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,지배 2158400000 + 비지배 20200000,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기말 지배지분 자본,2158400000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기말 종가,75.71,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LH?interval=1d&events=splits (2010-03-31),분할조정 종가 65.043 × 이후 분할계수 1.164,15
Labcorp Holdings,LH,2010Q1,2010-04-22,분기말 상장주식수,104000000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
Labcorp Holdings,LH,2010Q1,2010-03-31,분기말 시가총액,7873840000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LH?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,종가 75.71 × 주식수 104000000,15
Labcorp Holdings,LH,2010Q2,2010-06-30,분기별 매출액,1238400000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000073/,,15
Labcorp Holdings,LH,2010Q2,2010-06-30,분기별 영업이익,270500000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000073/,,15
Labcorp Holdings,LH,2010Q2,2010-06-30,분기별 당기순이익(지배),153700000,USD,공시,https://www.sec.gov/Archives/edgar/data/920148/000092014810000073/,,15
Labcorp Holdings,LH,2010Q2,2010-06-30,분기별 영업활동현금흐름,216200000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/920148/000092014810000073/ ; https://www.sec.gov/Archives/edgar/data/920148/000092014810000040/,누적 448200000 − 직전누적 232000000 (시작 2010-01-01),15
