기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
L3Harris Technologies,LHX,2010Q1,2010-04-02,분기별 매출액,1329500000,USD,공시,https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/,,11
L3Harris Technologies,LHX,2010Q1,2010-04-02,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/,,11
L3Harris Technologies,LHX,2010Q1,2010-04-02,분기별 당기순이익(지배),166200000,USD,공시,https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/,,11
L3Harris Technologies,LHX,2010Q1,2010-04-02,분기별 영업활동현금흐름,313900000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/ ; https://www.sec.gov/Archives/edgar/data/202058/000095012310006167/,누적 635300000 − 직전누적 321400000 (시작 2009-07-04),11
L3Harris Technologies,LHX,2010Q1,2010-04-02,분기말 자산총계,4627700000,USD,공시,https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/,,11
L3Harris Technologies,LHX,2010Q1,2010-04-02,분기말 부채총계,2510800000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/,부채및자본 4627700000 − 총자본 2116900000,11
L3Harris Technologies,LHX,2010Q1,2010-04-02,분기말 총자본(자기자본),2116900000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/,"StockholdersEquity, MinorityInterest 태그 없음",11
L3Harris Technologies,LHX,2010Q1,2010-04-02,분기말 지배지분 자본,2116900000,USD,공시,https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/,,11
L3Harris Technologies,LHX,2010Q1,2010-04-01,분기말 종가,47.84,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LHX?interval=1d&events=splits (2010-04-01),,11
L3Harris Technologies,LHX,2010Q1,2010-04-23,분기말 상장주식수,129834657,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/202058/000095012310040472/,dei:EntityCommonStockSharesOutstanding 클래스 합,11
