기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Lennox,LII,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),762000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,250800000,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,27
Lennox,LII,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),44000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,58100000,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,27
Lennox,LII,2010Q4,2010-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1692000000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,27
Lennox,LII,2010Q4,2010-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1102300000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,27
Lennox,LII,2010Q4,2010-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),589700000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,27
Lennox,LII,2011Q1,2011-03-31,분기별 매출액,재분류(미반영),687800000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311039069/,582600000,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/,27
Lennox,LII,2011Q1,2011-03-31,분기별 영업이익,재분류(미반영),-7000000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311039069/,-1300000,https://www.sec.gov/Archives/edgar/data/1069202/000119312512177598/,27
Lennox,LII,2011Q2,2011-06-30,분기별 매출액,재분류(미반영),937000000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311068216/,808600000,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/,27
Lennox,LII,2011Q2,2011-06-30,분기별 영업이익,재분류(미반영),72500000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311068216/,74200000,https://www.sec.gov/Archives/edgar/data/1069202/000119312512311640/,27
Lennox,LII,2011Q3,2011-09-30,분기별 매출액,재분류(미반영),923000000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311091697/,801200000,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/,27
Lennox,LII,2011Q3,2011-09-30,분기별 영업이익,재분류(미반영),54500000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311091697/,56600000,https://www.sec.gov/Archives/edgar/data/1069202/000106920212000005/,27
Lennox,LII,2011Q4,2011-12-31,분기별 매출액,재분류(미반영),755900000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012311091697/,648500000,https://www.sec.gov/Archives/edgar/data/1069202/000106920214000002/ ; https://www.sec.gov/Archives/edgar/data/1069202/000106920212000005/,27
Lennox,LII,2011Q4,2011-12-31,분기별 영업이익,재분류(미반영),27700000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012311091697/,46700000,https://www.sec.gov/Archives/edgar/data/1069202/000106920214000002/ ; https://www.sec.gov/Archives/edgar/data/1069202/000106920212000005/,27
Lennox,LII,2011Q4,2011-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),1705700000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/,,https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/,27
Lennox,LII,2011Q4,2011-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1237900000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/,,https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/,27
Lennox,LII,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),467800000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/,,https://www.sec.gov/Archives/edgar/data/1069202/000119312512065358/,27
Lennox,LII,2012Q1,2012-03-31,분기별 매출액,재분류(미반영),684200000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000119312512177598/,614400000,https://www.sec.gov/Archives/edgar/data/1069202/000106920214000002/,27
Lennox,LII,2012Q1,2012-03-31,분기별 영업이익,재분류(미반영),3900000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000119312512177598/,18900000,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000005/,27
Lennox,LII,2012Q2,2012-06-30,분기별 매출액,재분류(미반영),933800000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000119312512311640/,840400000,https://www.sec.gov/Archives/edgar/data/1069202/000106920214000002/,27
Lennox,LII,2012Q2,2012-06-30,분기별 영업이익,재분류(미반영),77800000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000119312512311640/,79800000,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000008/,27
Lennox,LII,2012Q4,2012-12-31,분기말 부채총계,재작성 반영,1195100000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/,1193600000,https://www.sec.gov/Archives/edgar/data/1069202/000106920214000002/,27
Lennox,LII,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 반영,496800000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/,498300000,https://www.sec.gov/Archives/edgar/data/1069202/000106920216000014/,27
Lennox,LII,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 반영,496800000,공시,https://www.sec.gov/Archives/edgar/data/1069202/000106920213000003/,498300000,https://www.sec.gov/Archives/edgar/data/1069202/000106920216000014/,27
Lennox,LII,2015Q4,2015-12-31,분기별 영업활동현금흐름,재분류(미반영),224300000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1069202/000106920216000014/ ; https://www.sec.gov/Archives/edgar/data/1069202/000106920215000011/,246700000,https://www.sec.gov/Archives/edgar/data/1069202/000106920218000004/ ; https://www.sec.gov/Archives/edgar/data/1069202/000106920215000011/,27
