기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Linde,LIN,2017Q3,2017-09-30,분기별 영업이익,재분류(미반영),-290825,공시,https://www.sec.gov/Archives/edgar/data/1707925/000170792517000008/,632000000,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/,4
Linde,LIN,2017Q3,2017-09-30,분기별 당기순이익(지배),재분류(미반영),-290825,공시,https://www.sec.gov/Archives/edgar/data/1707925/000170792517000008/,419000000,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/,4
Linde,LIN,2017Q4,2017-12-31,분기말 자산총계,재작성 반영,9214424,공시,https://www.sec.gov/Archives/edgar/data/1707925/000170792518000004/,20436000000,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/,4
Linde,LIN,2017Q4,2017-12-31,분기말 부채총계,재작성 반영,11146269,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1707925/000170792518000004/,14418000000,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/,4
Linde,LIN,2017Q4,2017-12-31,분기말 총자본(자기자본),재작성 반영,-1931845,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1707925/000170792518000004/,6018000000,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/,4
Linde,LIN,2017Q4,2017-12-31,분기말 지배지분 자본,재작성 반영,-1931845,공시,https://www.sec.gov/Archives/edgar/data/1707925/000170792518000004/,6018000000,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/,4
Linde,LIN,2018Q3,2018-09-30,분기별 영업이익,재분류(미반영),-4553926,공시,https://www.sec.gov/Archives/edgar/data/1707925/000170792518000033/,669000000,https://www.sec.gov/Archives/edgar/data/1707925/000170792520000015/,4
Linde,LIN,2018Q3,2018-09-30,분기별 당기순이익(지배),재분류(미반영),-4553926,공시,https://www.sec.gov/Archives/edgar/data/1707925/000170792518000033/,461000000,https://www.sec.gov/Archives/edgar/data/1707925/000170792520000015/,4
Linde,LIN,2018Q4,2018-12-31,분기별 영업이익,재분류(미반영),5256397039,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/ ; https://www.sec.gov/Archives/edgar/data/1707925/000170792518000033/,3236000000,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/ ; https://www.sec.gov/Archives/edgar/data/1707925/000170792519000076/,4
Linde,LIN,2018Q4,2018-12-31,분기별 당기순이익(지배),재분류(미반영),4390397039,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/ ; https://www.sec.gov/Archives/edgar/data/1707925/000170792518000033/,2978000000,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/ ; https://www.sec.gov/Archives/edgar/data/1707925/000170792519000076/,4
