기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Lowe's,LOW,2010Q1,2010-04-30,분기별 매출액,12388000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,,6
Lowe's,LOW,2010Q1,2010-04-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,,6
Lowe's,LOW,2010Q1,2010-04-30,분기별 당기순이익(지배),489000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,,6
Lowe's,LOW,2010Q1,2010-04-30,분기별 영업활동현금흐름,2736000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,,6
Lowe's,LOW,2010Q1,2010-04-30,분기말 자산총계,37414000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,,6
Lowe's,LOW,2010Q1,2010-04-30,분기말 부채총계,18395000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,,6
Lowe's,LOW,2010Q1,2010-04-30,분기말 총자본(자기자본),19019000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,,6
Lowe's,LOW,2010Q1,2010-04-30,분기말 지배지분 자본,19019000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",6
Lowe's,LOW,2010Q1,2010-04-30,분기말 종가,27.12,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LOW?interval=1d&events=splits (2010-04-30),,6
Lowe's,LOW,2010Q1,2010-05-28,분기말 상장주식수,1429199463,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Lowe's,LOW,2010Q1,2010-04-30,분기말 시가총액,38759889437,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LOW?interval=1d&events=splits (2010-04-30) ; https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,종가 27.12 × 주식수 1429199463,6
Lowe's,LOW,2010Q2,2010-07-30,분기별 매출액,14361000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,,6
Lowe's,LOW,2010Q2,2010-07-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,,6
Lowe's,LOW,2010Q2,2010-07-30,분기별 당기순이익(지배),832000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,,6
Lowe's,LOW,2010Q2,2010-07-30,분기별 영업활동현금흐름,46000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/ ; https://www.sec.gov/Archives/edgar/data/60667/000006066710000102/,누적 2782000000 − 직전누적 2736000000 (시작 2010-01-30),6
Lowe's,LOW,2010Q2,2010-07-30,분기말 자산총계,34633000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,,6
Lowe's,LOW,2010Q2,2010-07-30,분기말 부채총계,15420000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,,6
Lowe's,LOW,2010Q2,2010-07-30,분기말 총자본(자기자본),19213000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,,6
Lowe's,LOW,2010Q2,2010-07-30,분기말 지배지분 자본,19213000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",6
Lowe's,LOW,2010Q2,2010-07-30,분기말 종가,20.74,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LOW?interval=1d&events=splits (2010-07-30),,6
Lowe's,LOW,2010Q2,2010-08-27,분기말 상장주식수,1403275853,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Lowe's,LOW,2010Q2,2010-07-30,분기말 시가총액,29103941191,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LOW?interval=1d&events=splits (2010-07-30) ; https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,종가 20.74 × 주식수 1403275853,6
Lowe's,LOW,2010Q3,2010-10-29,분기별 매출액,11587000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,,6
Lowe's,LOW,2010Q3,2010-10-29,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,,6
Lowe's,LOW,2010Q3,2010-10-29,분기별 당기순이익(지배),404000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,,6
Lowe's,LOW,2010Q3,2010-10-29,분기별 영업활동현금흐름,1051000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/ ; https://www.sec.gov/Archives/edgar/data/60667/000006066710000159/,누적 3833000000 − 직전누적 2782000000 (시작 2010-01-30),6
Lowe's,LOW,2010Q3,2010-10-29,분기말 자산총계,34341000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,,6
Lowe's,LOW,2010Q3,2010-10-29,분기말 부채총계,15449000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,,6
Lowe's,LOW,2010Q3,2010-10-29,분기말 총자본(자기자본),18892000000,USD,공시,https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,,6
Lowe's,LOW,2010Q3,2010-10-29,분기말 지배지분 자본,18892000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",6
Lowe's,LOW,2010Q3,2010-10-29,분기말 종가,21.34,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LOW?interval=1d&events=splits (2010-10-29),,6
Lowe's,LOW,2010Q3,2010-11-26,분기말 상장주식수,1380003909,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Lowe's,LOW,2010Q3,2010-10-29,분기말 시가총액,29449283418,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LOW?interval=1d&events=splits (2010-10-29) ; https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,종가 21.34 × 주식수 1380003909,6
Lowe's,LOW,2010Q4,2011-01-28,분기별 매출액,10480000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/60667/000006066711000061/ ; https://www.sec.gov/Archives/edgar/data/60667/000006066710000184/,연간 48815000000 − 9개월누적 38335000000 (SalesRevenueNet),6
