기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
lululemon,LULU,2012Q2,2012-07-29,분기별 매출액,재작성 반영,-282634000,공시,https://www.sec.gov/Archives/edgar/data/1397187/000119312512383973/,282634000,https://www.sec.gov/Archives/edgar/data/1397187/000139718714000021/,30
lululemon,LULU,2012Q2,2012-07-29,분기별 영업이익,재작성 반영,-70188000,공시,https://www.sec.gov/Archives/edgar/data/1397187/000119312512383973/,70188000,https://www.sec.gov/Archives/edgar/data/1397187/000139718714000021/,30
lululemon,LULU,2012Q2,2012-07-29,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),726345000,공시,https://www.sec.gov/Archives/edgar/data/1397187/000119312512383973/,,https://www.sec.gov/Archives/edgar/data/1397187/000119312512383973/,30
lululemon,LULU,2012Q2,2012-07-29,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),720729000,공시,https://www.sec.gov/Archives/edgar/data/1397187/000119312512383973/,,https://www.sec.gov/Archives/edgar/data/1397187/000119312512383973/,30
lululemon,LULU,2013Q4,2014-02-02,분기말 자산총계,재작성 반영,1249688000,공시,https://www.sec.gov/Archives/edgar/data/1397187/000139718714000021/,1252388000,https://www.sec.gov/Archives/edgar/data/1397187/000139718715000016/,30
lululemon,LULU,2013Q4,2014-02-02,분기말 부채총계,재작성 반영,153006000,공시,https://www.sec.gov/Archives/edgar/data/1397187/000139718714000021/,155706000,https://www.sec.gov/Archives/edgar/data/1397187/000139718715000016/,30
lululemon,LULU,2015Q4,2016-01-31,분기별 영업활동현금흐름,재작성 반영,272800000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1397187/000139718716000089/ ; https://www.sec.gov/Archives/edgar/data/1397187/000139718715000071/,271598000,https://www.sec.gov/Archives/edgar/data/1397187/000139718718000013/ ; https://www.sec.gov/Archives/edgar/data/1397187/000139718715000071/,30
lululemon,LULU,2016Q1,2016-05-01,분기별 영업활동현금흐름,재작성 반영,39734000,공시,https://www.sec.gov/Archives/edgar/data/1397187/000139718716000108/,40027000,https://www.sec.gov/Archives/edgar/data/1397187/000139718717000027/,30
lululemon,LULU,2016Q2,2016-07-31,분기별 영업활동현금흐름,재작성 반영,60254000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1397187/000139718716000127/ ; https://www.sec.gov/Archives/edgar/data/1397187/000139718716000108/,61166000,https://www.sec.gov/Archives/edgar/data/1397187/000139718717000039/ ; https://www.sec.gov/Archives/edgar/data/1397187/000139718717000027/,30
lululemon,LULU,2016Q3,2016-10-30,분기별 영업활동현금흐름,재작성 반영,-2657000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1397187/000139718716000134/ ; https://www.sec.gov/Archives/edgar/data/1397187/000139718716000127/,-2534000,https://www.sec.gov/Archives/edgar/data/1397187/000139718717000048/ ; https://www.sec.gov/Archives/edgar/data/1397187/000139718717000039/,30
lululemon,LULU,2016Q4,2017-01-29,분기별 영업활동현금흐름,재작성 반영,287788000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1397187/000139718717000008/ ; https://www.sec.gov/Archives/edgar/data/1397187/000139718716000134/,287733000,https://www.sec.gov/Archives/edgar/data/1397187/000139718719000011/ ; https://www.sec.gov/Archives/edgar/data/1397187/000139718717000048/,30
