기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Southwest Airlines,LUV,2010Q1,2010-03-31,분기별 매출액,2630000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,,17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기별 영업이익,54000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,,17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기별 당기순이익(지배),11000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,,17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기별 영업활동현금흐름,373000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,,17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기말 자산총계,14530000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,,17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기말 부채총계,8994000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,부채및자본 14530000000 − 총자본 5536000000,17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기말 총자본(자기자본),5536000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,"StockholdersEquity, MinorityInterest 태그 없음",17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기말 지배지분 자본,5536000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,,17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기말 종가,13.22,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LUV?interval=1d&events=splits (2010-03-31),,17
Southwest Airlines,LUV,2010Q1,2010-04-20,분기말 상장주식수,744447409,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,dei:EntityCommonStockSharesOutstanding 클래스 합,17
Southwest Airlines,LUV,2010Q1,2010-03-31,분기말 시가총액,9841594747,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LUV?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,종가 13.22 × 주식수 744447409,17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기별 매출액,3168,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/92380/000009238011000070/,원 공시 3168000000 (https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/),17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기별 영업이익,363000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/,,17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기별 당기순이익(지배),112000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/,,17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기별 영업활동현금흐름,-372999087,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/92380/000009238011000070/ ; https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/,누적 913 − 직전누적 373000000 (시작 2010-01-01) ; 원 공시 540000000 (https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/ ; https://www.sec.gov/Archives/edgar/data/92380/000009238010000032/),17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기말 자산총계,14987000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/,,17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기말 부채총계,9439000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/,부채및자본 14987000000 − 총자본 5548000000,17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기말 총자본(자기자본),5548000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/,"StockholdersEquity, MinorityInterest 태그 없음",17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기말 지배지분 자본,5548000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/,,17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기말 종가,11.11,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LUV?interval=1d&events=splits (2010-06-30),,17
Southwest Airlines,LUV,2010Q2,2010-07-27,분기말 상장주식수,745946155,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/,dei:EntityCommonStockSharesOutstanding 클래스 합,17
Southwest Airlines,LUV,2010Q2,2010-06-30,분기말 시가총액,8287461782,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LUV?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/92380/000009238010000079/,종가 11.11 × 주식수 745946155,17
Southwest Airlines,LUV,2010Q3,2010-09-30,분기별 매출액,3192000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000102/,,17
Southwest Airlines,LUV,2010Q3,2010-09-30,분기별 영업이익,355000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000102/,,17
Southwest Airlines,LUV,2010Q3,2010-09-30,분기별 당기순이익(지배),205000000,USD,공시,https://www.sec.gov/Archives/edgar/data/92380/000009238010000102/,,17
