기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Las Vegas Sands,LVS,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),22361691000,공시,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/,,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/,15
Las Vegas Sands,LVS,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),13341109000,공시,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/,,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/,15
Las Vegas Sands,LVS,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9020582000,공시,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/,,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/,15
Las Vegas Sands,LVS,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,1009485000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/ ; https://www.sec.gov/Archives/edgar/data/1300514/000130051415000018/,1018514000,https://www.sec.gov/Archives/edgar/data/1300514/000130051418000022/ ; https://www.sec.gov/Archives/edgar/data/1300514/000130051415000018/,15
Las Vegas Sands,LVS,2015Q4,2015-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),20987421000,공시,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/,,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/,15
Las Vegas Sands,LVS,2015Q4,2015-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),12569434000,공시,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/,,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/,15
Las Vegas Sands,LVS,2015Q4,2015-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8417987000,공시,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/,,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/,15
Las Vegas Sands,LVS,2015Q4,2015-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),6816741000,공시,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/,,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/,15
Las Vegas Sands,LVS,2016Q2,2016-06-30,분기별 매출액,재작성 반영,2650081000,공시,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000034/,2649000000,https://www.sec.gov/Archives/edgar/data/1300514/000130051418000022/,15
Las Vegas Sands,LVS,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,669092000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1300514/000130051417000005/ ; https://www.sec.gov/Archives/edgar/data/1300514/000130051416000040/,678092000,https://www.sec.gov/Archives/edgar/data/1300514/000130051419000021/ ; https://www.sec.gov/Archives/edgar/data/1300514/000130051416000040/,15
